Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.72	0.516	0.512	0.238	0.00392	0.00339	0.17	0.6	1.7	0.19	0.51	0.89	0.002	0.003	0.007
2	0.635	0.447	0.51	0.233	0.00529	0.00417	0.16	0.53	1.5	0.2	0.5	0.88	0.003	0.005	0.009
3	0.542	0.391	0.51	0.238	0.00619	0.00435	0.13	0.44	1.3	0.19	0.5	0.89	0.004	0.005	0.01
4	0.463	0.343	0.51	0.243	0.00717	0.00462	0.11	0.38	1.1	0.18	0.51	0.9	0.004	0.006	0.01
5	0.398	0.301	0.511	0.248	0.00821	0.00505	0.09	0.32	0.96	0.18	0.51	0.9	0.005	0.007	0.02
6	0.345	0.266	0.51	0.252	0.00927	0.00551	0.07	0.27	0.84	0.17	0.51	0.91	0.005	0.008	0.02
7	0.301	0.234	0.509	0.255	0.0103	0.00588	0.06	0.24	0.74	0.16	0.51	0.91	0.006	0.009	0.02
8	0.263	0.205	0.508	0.256	0.0114	0.00626	0.05	0.21	0.65	0.16	0.51	0.92	0.006	0.01	0.02
9	0.231	0.18	0.506	0.256	0.0124	0.00656	0.05	0.18	0.57	0.17	0.5	0.92	0.007	0.01	0.02
10	0.206	0.159	0.505	0.255	0.0136	0.00718	0.04	0.16	0.51	0.16	0.5	0.91	0.007	0.01	0.03
11	0.184	0.14	0.502	0.252	0.0146	0.00741	0.04	0.15	0.45	0.16	0.5	0.9	0.008	0.01	0.03
12	0.166	0.123	0.499	0.247	0.0154	0.00761	0.04	0.13	0.4	0.17	0.49	0.9	0.009	0.01	0.03
13	0.15	0.109	0.496	0.243	0.0164	0.00785	0.04	0.12	0.36	0.17	0.49	0.89	0.009	0.01	0.03
14	0.137	0.0964	0.492	0.237	0.0172	0.00794	0.03	0.11	0.32	0.18	0.49	0.88	0.01	0.02	0.03
15	0.126	0.0858	0.488	0.231	0.0179	0.00785	0.03	0.11	0.29	0.18	0.48	0.87	0.01	0.02	0.03
16	0.116	0.0763	0.483	0.224	0.0185	0.0079	0.03	0.1	0.26	0.19	0.47	0.85	0.01	0.02	0.03
17	0.108	0.0684	0.478	0.216	0.019	0.00772	0.03	0.1	0.24	0.19	0.47	0.83	0.01	0.02	0.03
18	0.102	0.0611	0.472	0.207	0.0192	0.0075	0.03	0.09	0.22	0.2	0.46	0.82	0.01	0.02	0.03
19	0.096	0.055	0.466	0.199	0.0197	0.00745	0.03	0.09	0.2	0.21	0.45	0.8	0.01	0.02	0.03
20	0.0907	0.0496	0.461	0.191	0.0203	0.0074	0.03	0.08	0.18	0.21	0.45	0.78	0.01	0.02	0.03
21	0.0866	0.045	0.456	0.183	0.0206	0.00714	0.03	0.08	0.17	0.22	0.44	0.75	0.01	0.02	0.03
22	0.0831	0.0411	0.452	0.175	0.0207	0.00686	0.03	0.08	0.16	0.22	0.44	0.74	0.01	0.02	0.03
23	0.0801	0.0377	0.446	0.167	0.0211	0.00673	0.03	0.08	0.15	0.23	0.44	0.72	0.01	0.02	0.03
24	0.0777	0.0349	0.442	0.159	0.0214	0.00665	0.03	0.08	0.14	0.24	0.43	0.7	0.01	0.02	0.03
25	0.0749	0.0323	0.438	0.154	0.0217	0.00653	0.03	0.07	0.13	0.24	0.43	0.69	0.02	0.02	0.03
26	0.0735	0.0302	0.434	0.146	0.0216	0.00618	0.04	0.07	0.12	0.25	0.43	0.67	0.02	0.02	0.03
27	0.0716	0.0281	0.43	0.14	0.0219	0.00603	0.04	0.07	0.12	0.25	0.43	0.66	0.02	0.02	0.03
28	0.0703	0.0265	0.427	0.135	0.022	0.00583	0.04	0.07	0.11	0.25	0.42	0.64	0.02	0.02	0.03
29	0.0689	0.0252	0.423	0.13	0.0223	0.00588	0.04	0.07	0.11	0.25	0.42	0.63	0.02	0.02	0.03
30	0.0678	0.024	0.421	0.126	0.0225	0.00573	0.04	0.07	0.11	0.26	0.42	0.63	0.02	0.02	0.03
31	0.0667	0.0229	0.418	0.121	0.0227	0.00576	0.04	0.07	0.1	0.26	0.42	0.61	0.02	0.02	0.03
32	0.0658	0.022	0.414	0.118	0.0229	0.00572	0.04	0.07	0.1	0.26	0.42	0.6	0.02	0.02	0.03
33	0.0649	0.0213	0.412	0.114	0.023	0.00566	0.04	0.07	0.1	0.26	0.42	0.6	0.02	0.02	0.03
34	0.0638	0.0206	0.41	0.112	0.0232	0.00559	0.04	0.06	0.1	0.26	0.42	0.59	0.02	0.02	0.03
35	0.063	0.0199	0.407	0.109	0.0234	0.0055	0.04	0.06	0.09	0.26	0.41	0.58	0.02	0.02	0.03
36	0.0624	0.0193	0.405	0.106	0.0234	0.0053	0.04	0.06	0.09	0.27	0.41	0.57	0.02	0.02	0.03
37	0.0616	0.0189	0.403	0.103	0.0238	0.00539	0.04	0.06	0.09	0.26	0.41	0.57	0.02	0.02	0.03
38	0.061	0.0184	0.401	0.102	0.024	0.00533	0.04	0.06	0.09	0.27	0.4	0.56	0.02	0.02	0.03
39	0.0605	0.018	0.399	0.101	0.0242	0.00531	0.04	0.06	0.09	0.27	0.41	0.56	0.02	0.02	0.03
40	0.0597	0.0177	0.397	0.0996	0.0245	0.0054	0.04	0.06	0.09	0.26	0.41	0.55	0.02	0.02	0.03
41	0.0595	0.0173	0.396	0.0972	0.0244	0.00529	0.04	0.06	0.09	0.27	0.4	0.54	0.02	0.02	0.03
42	0.0588	0.017	0.393	0.0957	0.0247	0.0053	0.04	0.06	0.09	0.26	0.4	0.54	0.02	0.02	0.03
43	0.0584	0.0168	0.393	0.0943	0.0252	0.00548	0.04	0.06	0.08	0.26	0.4	0.54	0.02	0.02	0.04
44	0.0576	0.0165	0.389	0.0942	0.0253	0.00546	0.04	0.06	0.08	0.26	0.4	0.53	0.02	0.02	0.04
45	0.0575	0.0161	0.389	0.093	0.0254	0.00541	0.04	0.06	0.08	0.26	0.4	0.53	0.02	0.02	0.04
