Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.674	0.499	0.485	0.241	0.00389	0.00375	0.14	0.54	1.6	0.16	0.48	0.86	0.002	0.003	0.007
2	0.595	0.429	0.484	0.235	0.0054	0.00511	0.14	0.49	1.4	0.17	0.48	0.86	0.003	0.004	0.01
3	0.505	0.375	0.485	0.242	0.00633	0.00503	0.11	0.42	1.2	0.17	0.48	0.88	0.004	0.005	0.01
4	0.429	0.328	0.485	0.248	0.00734	0.00532	0.09	0.35	1.1	0.16	0.48	0.89	0.004	0.006	0.01
5	0.369	0.289	0.485	0.253	0.00848	0.00575	0.08	0.29	0.94	0.15	0.48	0.9	0.005	0.007	0.02
6	0.319	0.254	0.484	0.257	0.00947	0.00582	0.06	0.25	0.83	0.15	0.48	0.9	0.005	0.008	0.02
7	0.278	0.224	0.483	0.26	0.0106	0.00635	0.05	0.22	0.72	0.14	0.48	0.9	0.006	0.009	0.02
8	0.243	0.197	0.482	0.261	0.0117	0.00677	0.05	0.19	0.63	0.14	0.48	0.91	0.006	0.01	0.02
9	0.215	0.174	0.482	0.26	0.0128	0.00719	0.04	0.17	0.56	0.15	0.48	0.91	0.007	0.01	0.02
10	0.19	0.153	0.479	0.26	0.014	0.00758	0.04	0.15	0.49	0.14	0.47	0.91	0.008	0.01	0.03
11	0.171	0.135	0.477	0.257	0.0149	0.00781	0.03	0.14	0.44	0.14	0.47	0.9	0.008	0.01	0.03
12	0.154	0.119	0.475	0.252	0.0158	0.00805	0.03	0.12	0.39	0.14	0.46	0.89	0.009	0.01	0.03
13	0.14	0.106	0.472	0.248	0.0168	0.00813	0.03	0.11	0.35	0.15	0.46	0.89	0.01	0.01	0.03
14	0.128	0.094	0.468	0.242	0.0176	0.00828	0.03	0.11	0.31	0.15	0.46	0.88	0.01	0.02	0.03
15	0.118	0.0837	0.465	0.235	0.0182	0.0083	0.03	0.1	0.28	0.15	0.45	0.86	0.01	0.02	0.03
16	0.109	0.0744	0.461	0.228	0.0189	0.0082	0.03	0.09	0.25	0.16	0.45	0.85	0.01	0.02	0.03
17	0.102	0.0665	0.456	0.22	0.0192	0.00807	0.03	0.09	0.23	0.17	0.45	0.84	0.01	0.02	0.03
18	0.096	0.0598	0.451	0.211	0.0195	0.0079	0.03	0.08	0.21	0.17	0.44	0.82	0.01	0.02	0.03
19	0.0904	0.0539	0.446	0.203	0.0201	0.00777	0.03	0.08	0.19	0.18	0.44	0.8	0.01	0.02	0.03
20	0.0859	0.0489	0.442	0.196	0.0206	0.00772	0.03	0.08	0.18	0.18	0.44	0.78	0.01	0.02	0.03
21	0.0823	0.0444	0.438	0.186	0.0209	0.00738	0.03	0.07	0.16	0.19	0.44	0.76	0.01	0.02	0.03
22	0.0791	0.0407	0.434	0.178	0.021	0.00711	0.03	0.07	0.15	0.2	0.43	0.74	0.01	0.02	0.03
23	0.0761	0.0374	0.43	0.171	0.0214	0.00696	0.03	0.07	0.14	0.21	0.43	0.72	0.01	0.02	0.03
24	0.0738	0.0348	0.427	0.164	0.0218	0.00687	0.03	0.07	0.13	0.21	0.43	0.71	0.02	0.02	0.03
25	0.0718	0.0326	0.423	0.158	0.022	0.00666	0.03	0.07	0.13	0.21	0.42	0.69	0.02	0.02	0.03
26	0.0706	0.0303	0.42	0.15	0.0218	0.00637	0.03	0.07	0.12	0.22	0.42	0.67	0.02	0.02	0.03
27	0.0688	0.0285	0.417	0.145	0.0222	0.0064	0.03	0.07	0.12	0.23	0.42	0.66	0.02	0.02	0.03
28	0.0674	0.0269	0.413	0.14	0.0223	0.00619	0.03	0.07	0.11	0.23	0.41	0.64	0.02	0.02	0.03
29	0.066	0.0256	0.41	0.135	0.0226	0.00616	0.03	0.07	0.11	0.23	0.41	0.63	0.02	0.02	0.03
30	0.0651	0.0244	0.408	0.13	0.0228	0.00604	0.03	0.06	0.1	0.24	0.41	0.62	0.02	0.02	0.03
31	0.0643	0.0235	0.405	0.126	0.0228	0.00585	0.03	0.06	0.1	0.24	0.41	0.61	0.02	0.02	0.03
32	0.063	0.0224	0.402	0.123	0.0233	0.0058	0.03	0.06	0.1	0.24	0.41	0.6	0.02	0.02	0.03
