Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.651	0.522	0.501	0.254	0.00706	0.00871	0.12	0.52	1.7	0.15	0.5	0.91	0.004	0.005	0.01
2	0.583	0.453	0.501	0.25	0.00855	0.0098	0.12	0.48	1.5	0.16	0.5	0.91	0.005	0.007	0.02
3	0.499	0.396	0.501	0.254	0.00938	0.00966	0.1	0.41	1.3	0.15	0.5	0.91	0.005	0.008	0.02
4	0.428	0.346	0.502	0.259	0.0104	0.00926	0.08	0.35	1.1	0.14	0.5	0.92	0.006	0.009	0.02
5	0.371	0.304	0.502	0.262	0.0113	0.00913	0.07	0.29	1.0	0.14	0.5	0.92	0.006	0.009	0.02
6	0.321	0.266	0.501	0.265	0.0122	0.00892	0.06	0.25	0.88	0.13	0.5	0.93	0.007	0.01	0.02
7	0.282	0.234	0.501	0.265	0.0135	0.00893	0.05	0.22	0.78	0.13	0.5	0.93	0.008	0.01	0.02
8	0.249	0.205	0.5	0.266	0.0145	0.00902	0.05	0.19	0.68	0.14	0.5	0.93	0.008	0.01	0.03
9	0.221	0.181	0.499	0.264	0.0155	0.00892	0.04	0.17	0.6	0.14	0.5	0.93	0.009	0.01	0.03
10	0.196	0.158	0.498	0.262	0.0166	0.009	0.04	0.15	0.53	0.15	0.49	0.92	0.009	0.01	0.03
11	0.177	0.139	0.497	0.258	0.0174	0.00881	0.04	0.14	0.47	0.15	0.49	0.92	0.01	0.02	0.03
12	0.16	0.122	0.495	0.253	0.0184	0.00893	0.04	0.13	0.42	0.15	0.49	0.91	0.01	0.02	0.03
13	0.146	0.108	0.493	0.247	0.019	0.00888	0.04	0.12	0.37	0.16	0.49	0.91	0.01	0.02	0.03
14	0.134	0.0951	0.49	0.241	0.0197	0.00889	0.04	0.11	0.33	0.17	0.48	0.9	0.01	0.02	0.03
15	0.124	0.0841	0.487	0.233	0.0202	0.00861	0.04	0.1	0.3	0.18	0.47	0.88	0.01	0.02	0.03
