Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.683	0.486	0.495	0.236	0.00432	0.00437	0.16	0.58	1.6	0.16	0.5	0.87	0.002	0.004	0.008
2	0.608	0.423	0.493	0.229	0.00574	0.00558	0.15	0.52	1.4	0.17	0.49	0.86	0.003	0.005	0.01
3	0.516	0.369	0.492	0.235	0.00667	0.00551	0.12	0.44	1.2	0.16	0.49	0.87	0.004	0.006	0.01
4	0.442	0.325	0.492	0.24	0.00768	0.00548	0.09	0.37	1.1	0.16	0.49	0.88	0.004	0.006	0.02
5	0.378	0.286	0.492	0.245	0.00878	0.00597	0.08	0.31	0.91	0.15	0.49	0.89	0.005	0.007	0.02
6	0.325	0.25	0.491	0.249	0.00986	0.0063	0.06	0.26	0.8	0.14	0.49	0.9	0.005	0.008	0.02
7	0.285	0.222	0.49	0.251	0.011	0.00678	0.05	0.23	0.7	0.14	0.49	0.9	0.006	0.009	0.02
8	0.249	0.195	0.489	0.252	0.0122	0.00722	0.05	0.2	0.62	0.14	0.49	0.9	0.006	0.01	0.03
9	0.219	0.172	0.487	0.251	0.0133	0.00767	0.04	0.18	0.55	0.14	0.49	0.89	0.007	0.01	0.03
10	0.195	0.152	0.485	0.25	0.0144	0.00794	0.04	0.16	0.49	0.14	0.49	0.89	0.008	0.01	0.03
11	0.174	0.134	0.482	0.247	0.0155	0.00848	0.03	0.14	0.43	0.14	0.49	0.88	0.008	0.01	0.03
12	0.157	0.118	0.48	0.243	0.0164	0.00857	0.03	0.13	0.39	0.15	0.48	0.88	0.009	0.01	0.03
13	0.142	0.105	0.477	0.239	0.0174	0.00878	0.03	0.12	0.34	0.15	0.48	0.87	0.01	0.01	0.03
14	0.13	0.0928	0.473	0.233	0.0182	0.00897	0.03	0.11	0.31	0.16	0.47	0.86	0.01	0.02	0.03
15	0.12	0.0826	0.469	0.226	0.0188	0.00885	0.03	0.1	0.28	0.16	0.47	0.85	0.01	0.02	0.03
16	0.111	0.0736	0.465	0.219	0.0196	0.00891	0.03	0.1	0.25	0.16	0.46	0.84	0.01	0.02	0.04
17	0.104	0.0659	0.461	0.212	0.02	0.00867	0.03	0.09	0.23	0.18	0.45	0.82	0.01	0.02	0.04
18	0.0974	0.0591	0.456	0.204	0.0202	0.00857	0.03	0.09	0.21	0.18	0.45	0.8	0.01	0.02	0.04
19	0.0915	0.0532	0.45	0.197	0.0208	0.00828	0.03	0.08	0.19	0.18	0.44	0.78	0.01	0.02	0.04
20	0.0865	0.0483	0.446	0.19	0.0214	0.0083	0.03	0.08	0.18	0.19	0.44	0.77	0.01	0.02	0.04
21	0.0826	0.0439	0.442	0.182	0.0219	0.00819	0.03	0.08	0.16	0.2	0.43	0.75	0.01	0.02	0.04
22	0.0789	0.0401	0.437	0.175	0.0222	0.00797	0.03	0.07	0.15	0.2	0.43	0.73	0.01	0.02	0.04
23	0.0764	0.0371	0.433	0.167	0.0225	0.00788	0.03	0.07	0.14	0.2	0.43	0.71	0.02	0.02	0.04
24	0.0743	0.0344	0.429	0.16	0.0228	0.00758	0.03	0.07	0.14	0.21	0.43	0.69	0.02	0.02	0.04
25	0.072	0.032	0.426	0.154	0.023	0.00756	0.03	0.07	0.13	0.21	0.43	0.68	0.02	0.02	0.04
26	0.0705	0.0299	0.423	0.147	0.023	0.00727	0.03	0.07	0.12	0.22	0.43	0.66	0.02	0.02	0.04
27	0.0687	0.0281	0.42	0.141	0.0234	0.00716	0.03	0.07	0.12	0.22	0.42	0.65	0.02	0.02	0.04
28	0.0672	0.0265	0.416	0.135	0.0234	0.00692	0.03	0.07	0.11	0.23	0.42	0.63	0.02	0.02	0.04
29	0.0661	0.0251	0.413	0.131	0.0237	0.00682	0.03	0.07	0.11	0.24	0.42	0.62	0.02	0.02	0.04
30	0.0651	0.0239	0.411	0.126	0.0238	0.00662	0.03	0.07	0.11	0.24	0.42	0.61	0.02	0.02	0.04
31	0.0644	0.023	0.408	0.121	0.024	0.00653	0.03	0.07	0.1	0.24	0.42	0.6	0.02	0.02	0.04
32	0.0634	0.0219	0.407	0.118	0.0242	0.00635	0.03	0.06	0.1	0.24	0.41	0.59	0.02	0.02	0.04
33	0.0625	0.0213	0.403	0.115	0.0243	0.00627	0.03	0.06	0.1	0.25	0.41	0.58	0.02	0.02	0.04
34	0.0617	0.0205	0.401	0.112	0.0244	0.00627	0.03	0.06	0.1	0.25	0.41	0.57	0.02	0.02	0.04
35	0.0607	0.0197	0.399	0.11	0.0249	0.00627	0.03	0.06	0.09	0.25	0.41	0.57	0.02	0.02	0.04
36	0.0599	0.019	0.397	0.107	0.025	0.00619	0.03	0.06	0.09	0.25	0.4	0.56	0.02	0.02	0.04
37	0.0593	0.0185	0.396	0.104	0.0252	0.00613	0.03	0.06	0.09	0.25	0.4	0.55	0.02	0.02	0.04
38	0.0585	0.0179	0.394	0.102	0.0254	0.00611	0.03	0.06	0.09	0.25	0.4	0.55	0.02	0.02	0.04
39	0.0585	0.0177	0.392	0.101	0.0255	0.00598	0.03	0.06	0.09	0.25	0.4	0.54	0.02	0.02	0.04
40	0.0574	0.0173	0.389	0.0995	0.0259	0.00612	0.03	0.06	0.09	0.26	0.4	0.54	0.02	0.02	0.04
41	0.0572	0.0171	0.388	0.0979	0.026	0.00622	0.03	0.06	0.08	0.26	0.4	0.54	0.02	0.02	0.04
42	0.0567	0.0168	0.387	0.0968	0.0262	0.00621	0.03	0.06	0.08	0.25	0.4	0.53	0.02	0.02	0.04
43	0.0562	0.0165	0.387	0.0954	0.0266	0.00631	0.03	0.06	0.08	0.25	0.4	0.53	0.02	0.03	0.04
44	0.0557	0.0163	0.385	0.0955	0.0266	0.00625	0.03	0.06	0.08	0.25	0.39	0.53	0.02	0.03	0.04
45	0.0555	0.016	0.383	0.0945	0.0268	0.00622	0.03	0.06	0.08	0.25	0.39	0.52	0.02	0.03	0.04
46	0.0548	0.0159	0.382	0.0934	0.0273	0.00638	0.03	0.06	0.08	0.26	0.39	0.52	0.02	0.03	0.04
47	0.0548	0.0157	0.382	0.0915	0.0272	0.00626	0.03	0.06	0.08	0.26	0.39	0.52	0.02	0.03	0.04
48	0.0545	0.0155	0.381	0.0908	0.0276	0.00624	0.03	0.06	0.08	0.26	0.39	0.51	0.02	0.03	0.04
49	0.0544	0.0154	0.38	0.0909	0.0276	0.00621	0.03	0.06	0.08	0.26	0.39	0.51	0.02	0.03	0.04
50	0.0541	0.0153	0.379	0.0895	0.0276	0.00628	0.03	0.05	0.08	0.26	0.39	0.51	0.02	0.03	0.04
51	0.054	0.0152	0.377	0.0893	0.0281	0.00642	0.03	0.06	0.08	0.26	0.38	0.51	0.02	0.03	0.04
52	0.0537	0.0151	0.378	0.0881	0.0282	0.00644	0.03	0.05	0.08	0.26	0.38	0.51	0.02	0.03	0.04
53	0.0533	0.0148	0.377	0.0878	0.0282	0.00627	0.03	0.05	0.08	0.26	0.39	0.51	0.02	0.03	0.04
54	0.0524	0.0145	0.375	0.0881	0.0289	0.00643	0.03	0.05	0.07	0.26	0.38	0.51	0.02	0.03	0.04
