Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.675	0.511	0.501	0.244	0.00479	0.00297	0.15	0.54	1.6	0.16	0.49	0.89	0.003	0.004	0.009
2	0.608	0.442	0.5	0.237	0.00608	0.00337	0.15	0.49	1.4	0.18	0.5	0.88	0.004	0.005	0.01
3	0.522	0.385	0.5	0.24	0.00691	0.00381	0.12	0.42	1.3	0.17	0.49	0.89	0.004	0.006	0.01
4	0.45	0.34	0.499	0.243	0.00792	0.0046	0.1	0.36	1.1	0.16	0.49	0.89	0.004	0.007	0.02
5	0.387	0.298	0.498	0.248	0.00889	0.00477	0.08	0.3	0.97	0.16	0.49	0.9	0.005	0.008	0.02
6	0.337	0.263	0.497	0.251	0.00999	0.00545	0.07	0.26	0.85	0.15	0.49	0.9	0.006	0.008	0.02
7	0.294	0.232	0.496	0.253	0.0112	0.00605	0.06	0.23	0.75	0.15	0.49	0.9	0.006	0.009	0.02
8	0.258	0.204	0.495	0.254	0.0124	0.00658	0.05	0.2	0.66	0.15	0.49	0.9	0.007	0.01	0.03
9	0.228	0.18	0.493	0.253	0.0134	0.00712	0.04	0.18	0.58	0.15	0.49	0.9	0.007	0.01	0.03
10	0.202	0.158	0.491	0.251	0.0147	0.00773	0.04	0.16	0.52	0.15	0.49	0.9	0.008	0.01	0.03
11	0.182	0.14	0.488	0.248	0.0157	0.00801	0.04	0.14	0.46	0.15	0.48	0.89	0.008	0.01	0.03
12	0.163	0.124	0.486	0.244	0.0168	0.00842	0.04	0.13	0.41	0.15	0.48	0.89	0.009	0.01	0.03
13	0.148	0.109	0.484	0.24	0.0178	0.00861	0.04	0.12	0.36	0.16	0.47	0.88	0.01	0.02	0.03
14	0.135	0.0967	0.48	0.234	0.0186	0.00859	0.03	0.11	0.33	0.16	0.47	0.87	0.01	0.02	0.04
15	0.124	0.0862	0.477	0.227	0.0193	0.00865	0.03	0.1	0.29	0.17	0.47	0.86	0.01	0.02	0.04
16	0.115	0.0769	0.474	0.219	0.0201	0.00864	0.03	0.1	0.27	0.18	0.46	0.84	0.01	0.02	0.04
17	0.108	0.0683	0.469	0.21	0.0204	0.00819	0.03	0.09	0.24	0.19	0.46	0.82	0.01	0.02	0.04
18	0.101	0.061	0.465	0.203	0.0208	0.00794	0.03	0.09	0.22	0.19	0.46	0.81	0.01	0.02	0.04
19	0.0948	0.0546	0.461	0.195	0.0214	0.00792	0.03	0.08	0.2	0.2	0.45	0.8	0.01	0.02	0.04
20	0.0899	0.0492	0.456	0.187	0.0219	0.00785	0.03	0.08	0.19	0.2	0.44	0.77	0.01	0.02	0.04
21	0.0857	0.0445	0.452	0.179	0.0224	0.00761	0.03	0.08	0.17	0.21	0.44	0.76	0.01	0.02	0.04
22	0.0822	0.0404	0.447	0.171	0.0226	0.00751	0.03	0.08	0.16	0.22	0.43	0.74	0.02	0.02	0.04
23	0.0791	0.0371	0.443	0.164	0.023	0.00724	0.03	0.07	0.15	0.23	0.43	0.73	0.02	0.02	0.04
24	0.0769	0.0341	0.439	0.155	0.0234	0.00715	0.04	0.07	0.14	0.24	0.43	0.71	0.02	0.02	0.04
25	0.0744	0.0314	0.436	0.149	0.0235	0.00693	0.04	0.07	0.13	0.24	0.43	0.69	0.02	0.02	0.04
26	0.0728	0.0291	0.433	0.142	0.0237	0.00668	0.04	0.07	0.13	0.25	0.42	0.67	0.02	0.02	0.04
27	0.0711	0.0271	0.43	0.136	0.0239	0.0065	0.04	0.07	0.12	0.25	0.42	0.66	0.02	0.02	0.04
28	0.0696	0.0254	0.427	0.129	0.0239	0.00643	0.04	0.07	0.12	0.25	0.42	0.65	0.02	0.02	0.04
29	0.0681	0.0239	0.424	0.125	0.0242	0.00626	0.04	0.07	0.11	0.26	0.42	0.64	0.02	0.02	0.04
30	0.0667	0.0225	0.421	0.12	0.0246	0.00613	0.04	0.07	0.11	0.27	0.42	0.63	0.02	0.02	0.04
31	0.0656	0.0215	0.418	0.116	0.0247	0.00605	0.04	0.06	0.1	0.27	0.41	0.62	0.02	0.02	0.04
32	0.0649	0.0206	0.416	0.113	0.0248	0.00588	0.04	0.06	0.1	0.27	0.41	0.61	0.02	0.02	0.04
33	0.0637	0.0198	0.413	0.11	0.0252	0.00587	0.04	0.06	0.1	0.26	0.41	0.59	0.02	0.02	0.04
34	0.0625	0.0192	0.41	0.108	0.0254	0.00591	0.04	0.06	0.1	0.27	0.41	0.59	0.02	0.02	0.04
35	0.0619	0.0184	0.408	0.103	0.0257	0.0059	0.04	0.06	0.09	0.27	0.41	0.58	0.02	0.02	0.04
36	0.0609	0.0177	0.406	0.101	0.026	0.00582	0.04	0.06	0.09	0.27	0.41	0.57	0.02	0.03	0.04
37	0.0601	0.0171	0.405	0.0982	0.0262	0.00576	0.04	0.06	0.09	0.28	0.4	0.57	0.02	0.03	0.04
38	0.0594	0.0165	0.403	0.0966	0.0263	0.00567	0.04	0.06	0.09	0.27	0.4	0.56	0.02	0.03	0.04
