Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.665	0.487	0.494	0.236	0.000965	0.00132	0.15	0.54	1.6	0.17	0.49	0.89	0.0005	0.0007	0.002
2	0.565	0.416	0.491	0.237	0.00172	0.00213	0.13	0.45	1.4	0.18	0.48	0.91	0.0009	0.001	0.003
3	0.468	0.365	0.496	0.251	0.00212	0.00208	0.11	0.36	1.2	0.17	0.48	0.92	0.001	0.002	0.003
4	0.393	0.321	0.498	0.261	0.00251	0.00198	0.08	0.3	1.0	0.15	0.48	0.94	0.001	0.002	0.004
5	0.334	0.282	0.5	0.269	0.00294	0.00194	0.07	0.24	0.89	0.14	0.48	0.95	0.002	0.003	0.005
6	0.288	0.248	0.5	0.274	0.0034	0.00192	0.06	0.21	0.79	0.14	0.48	0.95	0.002	0.003	0.006
7	0.249	0.218	0.5	0.278	0.0039	0.00196	0.05	0.17	0.68	0.13	0.47	0.96	0.002	0.003	0.007
8	0.217	0.192	0.499	0.28	0.00445	0.00204	0.04	0.15	0.6	0.13	0.47	0.96	0.003	0.004	0.008
9	0.19	0.169	0.497	0.281	0.00502	0.00218	0.04	0.13	0.53	0.13	0.47	0.96	0.003	0.005	0.009
10	0.166	0.148	0.494	0.281	0.00569	0.00241	0.03	0.12	0.46	0.13	0.46	0.96	0.003	0.005	0.01
11	0.147	0.13	0.49	0.28	0.0064	0.00269	0.03	0.1	0.4	0.13	0.46	0.95	0.004	0.006	0.01
12	0.13	0.115	0.486	0.279	0.00711	0.00294	0.02	0.09	0.36	0.13	0.45	0.95	0.004	0.006	0.01
13	0.116	0.102	0.48	0.277	0.00783	0.00324	0.02	0.08	0.32	0.13	0.45	0.94	0.004	0.007	0.01
14	0.103	0.0902	0.474	0.275	0.00865	0.0036	0.02	0.07	0.28	0.13	0.45	0.94	0.005	0.008	0.02
15	0.0929	0.0803	0.468	0.272	0.00936	0.00386	0.02	0.07	0.25	0.12	0.44	0.93	0.005	0.009	0.02
16	0.0838	0.0713	0.46	0.268	0.0101	0.00411	0.02	0.06	0.23	0.12	0.43	0.92	0.005	0.009	0.02
17	0.0756	0.0634	0.451	0.264	0.0108	0.00432	0.01	0.06	0.2	0.12	0.42	0.91	0.006	0.01	0.02
18	0.0691	0.0569	0.444	0.26	0.0114	0.00441	0.01	0.05	0.18	0.12	0.41	0.9	0.006	0.01	0.02
19	0.0633	0.051	0.435	0.255	0.012	0.00455	0.01	0.05	0.16	0.12	0.4	0.87	0.006	0.01	0.02
20	0.0584	0.0462	0.428	0.252	0.0126	0.00465	0.01	0.05	0.15	0.12	0.39	0.86	0.007	0.01	0.02
21	0.0544	0.042	0.421	0.248	0.0132	0.00472	0.01	0.04	0.14	0.12	0.38	0.85	0.007	0.01	0.02
22	0.051	0.0386	0.414	0.244	0.0135	0.00472	0.01	0.04	0.13	0.12	0.38	0.83	0.008	0.01	0.02
23	0.0477	0.0355	0.407	0.241	0.014	0.00473	0.01	0.04	0.12	0.12	0.37	0.83	0.008	0.01	0.02
24	0.045	0.033	0.4	0.237	0.0145	0.0048	0.01	0.04	0.11	0.12	0.36	0.81	0.009	0.01	0.02
25	0.0429	0.031	0.394	0.234	0.0147	0.00475	0.01	0.04	0.1	0.12	0.36	0.81	0.009	0.01	0.02
26	0.041	0.0294	0.389	0.232	0.0151	0.00478	0.01	0.03	0.1	0.11	0.35	0.8	0.009	0.01	0.02
27	0.0393	0.0278	0.384	0.23	0.0154	0.00477	0.009	0.03	0.09	0.11	0.35	0.79	0.009	0.01	0.02
28	0.0378	0.0266	0.378	0.227	0.0156	0.00477	0.009	0.03	0.09	0.11	0.34	0.78	0.01	0.01	0.02
29	0.0364	0.0256	0.373	0.225	0.016	0.00479	0.009	0.03	0.09	0.11	0.34	0.78	0.01	0.02	0.02
30	0.0352	0.0246	0.369	0.223	0.0162	0.00479	0.009	0.03	0.08	0.11	0.33	0.77	0.01	0.02	0.02
31	0.0342	0.0241	0.365	0.221	0.0164	0.00478	0.009	0.03	0.08	0.11	0.33	0.77	0.01	0.02	0.02
32	0.0333	0.0235	0.361	0.22	0.0167	0.0048	0.008	0.03	0.08	0.11	0.32	0.77	0.01	0.02	0.02
