%Iter	duration	train_objective	valid_objective	difference
0	135.0	-7.94588	-7.94585	3e-05
1	117.0	-3.58842	-3.52715	0.06127
2	116.0	-2.75471	-2.68763	0.06708
3	116.0	-2.47376	-2.42575	0.04801
4	116.0	-2.32499	-2.2723	0.05269
5	116.0	-2.20001	-2.15128	0.04873
6	116.0	-2.15097	-2.10523	0.04574
7	116.0	-2.06825	-2.01647	0.05178
8	116.0	-2.0658	-2.00109	0.06471
9	117.0	-2.00681	-1.97546	0.03135
10	117.0	-1.9789	-1.95406	0.02484
11	117.0	-1.93599	-1.89069	0.0453
12	116.0	-1.92439	-1.90345	0.02094
13	116.0	-2.47105	-2.46929	0.00176
14	116.0	-1.92485	-1.9079	0.01695
15	116.0	-1.89209	-1.87715	0.01494
16	117.0	-1.86025	-1.82713	0.03312
17	117.0	-1.85093	-1.82753	0.0234
18	118.0	-1.80435	-1.77882	0.02553
19	117.0	-1.81769	-1.84159	-0.0239
20	130.0	-1.82168	-1.80553	0.01615
21	116.0	-1.81091	-1.76199	0.04892
22	115.0	-1.79445	-1.78203	0.01242
23	116.0	-1.75259	-1.7696	-0.01701
24	115.0	-1.79928	-1.76932	0.02996
25	117.0	-1.74033	-1.73857	0.00176
26	117.0	-1.76968	-1.77637	-0.00669
27	118.0	-1.72499	-1.70574	0.01925
28	117.0	-1.70684	-1.70067	0.00617
29	117.0	-1.73095	-1.7054	0.02555
30	117.0	-1.73906	-1.72514	0.01392
31	116.0	-1.71874	-1.74311	-0.02437
32	116.0	-1.71915	-1.7024	0.01675
33	115.0	-1.69517	-1.70703	-0.01186
34	117.0	-1.6971	-1.70347	-0.00637
35	117.0	-1.67872	-1.66592	0.0128
36	118.0	-1.65235	-1.65169	0.00066
37	117.0	-1.65853	-1.66528	-0.00675
38	120.0	-1.67836	-1.67734	0.00102
39	119.0	-1.66355	-1.68465	-0.0211
40	132.0	-1.66553	-1.69431	-0.02878
41	119.0	-1.65949	-1.64376	0.01573
42	119.0	-1.66885	-1.68332	-0.01447
43	120.0	-1.86074	-1.87546	-0.01472
44	121.0	-1.64506	-1.66378	-0.01872
45	121.0	-1.61465	-1.64685	-0.0322
46	120.0	-1.61692	-1.64011	-0.02319
47	120.0	-1.75394	-1.76885	-0.01491
48	119.0	-1.63751	-1.64811	-0.0106
49	119.0	-1.58306	-1.62815	-0.04509
50	121.0	-1.61554	-1.62932	-0.01378
51	119.0	-1.66447	-1.64972	0.01475
52	120.0	-1.59053	-1.60409	-0.01356
53	120.0	-1.58151	-1.61459	-0.03308
54	121.0	-1.69633	-1.71953	-0.0232
55	120.0	-1.57533	-1.59873	-0.0234
56	120.0	-1.68366	-1.7045	-0.02084
57	119.0	-1.58685	-1.58826	-0.00141
58	119.0	-1.57925	-1.62651	-0.04726
59	119.0	-1.58148	-1.59278	-0.0113
60	132.0	-1.58997	-1.59947	-0.0095
61	120.0	-1.56481	-1.58557	-0.02076
62	121.0	-1.57452	-1.56272	0.0118
63	122.0	-1.53948	-1.56737	-0.02789
64	120.0	-1.56498	-1.58011	-0.01513
65	119.0	-1.56829	-1.57811	-0.00982
66	119.0	-1.54801	-1.57775	-0.02974
67	120.0	-2.61671	-2.65249	-0.03578
68	120.0	-1.55202	-1.58043	-0.02841
69	119.0	-1.5661	-1.59191	-0.02581
70	121.0	-1.53451	-1.55053	-0.01602
71	121.0	-1.52695	-1.5732	-0.04625
72	121.0	-1.53121	-1.56872	-0.03751
73	120.0	-1.53791	-1.56162	-0.02371
74	120.0	-1.53017	-1.54198	-0.01181
75	119.0	-1.53474	-1.5557	-0.02096
76	119.0	-1.53367	-1.5637	-0.03003
77	120.0	-1.53856	-1.52815	0.01041
78	119.0	-1.52564	-1.54695	-0.02131
79	120.0	-1.53497	-1.53726	-0.00229
80	134.0	-1.54166	-1.57287	-0.03121
81	121.0	-1.56396	-1.58646	-0.0225
82	121.0	-1.52341	-1.54763	-0.02422
83	120.0	-1.54962	-1.53715	0.01247
84	119.0	-1.5479	-1.5639	-0.016
85	119.0	-1.52187	-1.54439	-0.02252
86	119.0	-1.53912	-1.53231	0.00681
87	119.0	-1.51374	-1.53362	-0.01988
88	120.0	-1.80825	-1.79886	0.00939
89	120.0	-1.67762	-1.67805	-0.00043
90	121.0	-1.5038	-1.51366	-0.00986
91	120.0	-1.51115	-1.51732	-0.00617
92	120.0	-1.53796	-1.54128	-0.00332
93	119.0	-1.53569	-1.53755	-0.00186
94	119.0	-1.50781	-1.52823	-0.02042
95	119.0	-1.5434	-1.54244	0.00096
96	119.0	-1.52666	-1.5079	0.01876
97	120.0	-1.53362	-1.51327	0.02035
98	121.0	-1.67354	-1.68747	-0.01393
99	121.0	-1.512	-1.51817	-0.00617
100	134.0	-1.50527	-1.52017	-0.0149
101	120.0	-1.52894	-1.53155	-0.00261
102	119.0	-1.52046	-1.52338	-0.00292
103	119.0	-1.49708	-1.51048	-0.0134
104	120.0	-1.51729	-1.51637	0.00092
105	120.0	-1.49116	-1.49904	-0.00788
106	120.0	-1.49458	-1.48756	0.00702
107	121.0	-1.50975	-1.52918	-0.01943
108	121.0	-1.48304	-1.48432	-0.00128
109	120.0	-1.4719	-1.48677	-0.01487
110	121.0	-1.49671	-1.50232	-0.00561
111	119.0	-1.48989	-1.50557	-0.01568
112	119.0	-1.46912	-1.50633	-0.03721
Total training time is 3:45:02
