Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.696	0.556	0.517	0.266	0.000756	0.000635	0.13	0.55	1.7	0.15	0.53	0.92	0.0004	0.0006	0.002
2	0.711	0.55	0.516	0.259	0.00207	0.00181	0.13	0.57	1.8	0.16	0.52	0.91	0.001	0.002	0.004
3	0.724	0.541	0.514	0.25	0.00305	0.00288	0.15	0.6	1.7	0.17	0.52	0.91	0.002	0.002	0.006
4	0.725	0.532	0.514	0.245	0.00373	0.00367	0.16	0.61	1.7	0.17	0.51	0.9	0.002	0.003	0.007
5	0.719	0.525	0.513	0.244	0.00423	0.00434	0.16	0.61	1.7	0.17	0.51	0.9	0.002	0.003	0.008
6	0.711	0.519	0.513	0.244	0.00458	0.00489	0.16	0.6	1.7	0.18	0.51	0.9	0.002	0.004	0.009
7	0.701	0.513	0.512	0.244	0.00489	0.00544	0.15	0.58	1.7	0.18	0.51	0.9	0.003	0.004	0.009
8	0.692	0.507	0.512	0.245	0.00515	0.00595	0.15	0.57	1.7	0.18	0.51	0.9	0.003	0.004	0.01
9	0.682	0.502	0.512	0.246	0.0054	0.00633	0.15	0.56	1.6	0.17	0.51	0.9	0.003	0.004	0.01
10	0.672	0.497	0.512	0.247	0.00566	0.00678	0.14	0.55	1.6	0.17	0.51	0.9	0.003	0.005	0.01
11	0.663	0.493	0.512	0.248	0.00586	0.00702	0.14	0.54	1.6	0.17	0.51	0.9	0.003	0.005	0.01
12	0.655	0.488	0.512	0.249	0.00606	0.00721	0.14	0.53	1.6	0.17	0.51	0.9	0.003	0.005	0.01
13	0.646	0.484	0.513	0.25	0.00627	0.00743	0.14	0.52	1.6	0.17	0.51	0.91	0.003	0.005	0.01
14	0.639	0.48	0.513	0.25	0.00648	0.00768	0.13	0.52	1.5	0.17	0.51	0.91	0.003	0.005	0.01
15	0.633	0.476	0.513	0.25	0.00665	0.00774	0.13	0.51	1.5	0.17	0.51	0.9	0.003	0.005	0.01
16	0.627	0.473	0.513	0.251	0.00681	0.00789	0.13	0.5	1.5	0.17	0.51	0.91	0.004	0.005	0.01
17	0.622	0.469	0.513	0.251	0.0069	0.00783	0.13	0.5	1.5	0.17	0.51	0.91	0.004	0.006	0.01
18	0.618	0.466	0.513	0.25	0.00698	0.00766	0.13	0.5	1.5	0.17	0.51	0.9	0.004	0.006	0.01
19	0.615	0.463	0.513	0.25	0.007	0.0076	0.13	0.5	1.5	0.18	0.51	0.9	0.004	0.006	0.01
20	0.612	0.459	0.514	0.249	0.00702	0.00739	0.13	0.5	1.5	0.18	0.51	0.9	0.004	0.006	0.01
21	0.609	0.456	0.514	0.248	0.00707	0.00736	0.13	0.5	1.4	0.18	0.51	0.9	0.004	0.006	0.01
22	0.608	0.453	0.514	0.248	0.00707	0.00717	0.13	0.5	1.4	0.18	0.51	0.9	0.004	0.006	0.01
23	0.607	0.451	0.514	0.247	0.00709	0.00694	0.13	0.49	1.4	0.18	0.51	0.9	0.004	0.006	0.01
24	0.606	0.448	0.514	0.245	0.00708	0.00685	0.13	0.49	1.4	0.18	0.51	0.9	0.004	0.006	0.01
25	0.605	0.445	0.514	0.244	0.00709	0.0067	0.14	0.49	1.4	0.18	0.51	0.9	0.004	0.006	0.01
26	0.606	0.443	0.514	0.243	0.00707	0.0065	0.14	0.49	1.4	0.18	0.51	0.89	0.004	0.006	0.01
27	0.606	0.441	0.514	0.242	0.0071	0.00644	0.14	0.5	1.4	0.19	0.51	0.89	0.004	0.006	0.01
28	0.606	0.438	0.514	0.24	0.00712	0.00635	0.14	0.49	1.4	0.19	0.51	0.89	0.004	0.006	0.01
29	0.607	0.436	0.513	0.239	0.00658	0.00603	0.14	0.5	1.4	0.19	0.51	0.89	0.004	0.005	0.01
30	0.605	0.434	0.513	0.239	0.00627	0.00582	0.14	0.5	1.4	0.19	0.51	0.89	0.004	0.005	0.01
31	0.603	0.432	0.513	0.239	0.00603	0.00569	0.14	0.49	1.4	0.19	0.51	0.89	0.003	0.005	0.01
32	0.6	0.431	0.513	0.239	0.00588	0.00558	0.14	0.49	1.4	0.19	0.51	0.89	0.003	0.005	0.01
33	0.596	0.429	0.512	0.239	0.00572	0.00549	0.14	0.49	1.4	0.19	0.51	0.89	0.003	0.005	0.01
34	0.593	0.428	0.512	0.24	0.00563	0.00538	0.14	0.48	1.4	0.19	0.51	0.89	0.003	0.005	0.01
35	0.59	0.426	0.512	0.24	0.00554	0.00534	0.14	0.48	1.4	0.19	0.51	0.89	0.003	0.005	0.01
36	0.586	0.425	0.512	0.241	0.00544	0.00522	0.14	0.48	1.4	0.19	0.51	0.89	0.003	0.005	0.01
37	0.583	0.424	0.512	0.242	0.00539	0.00519	0.13	0.47	1.3	0.18	0.51	0.89	0.003	0.004	0.01
38	0.58	0.423	0.512	0.242	0.00532	0.00515	0.13	0.47	1.3	0.18	0.51	0.89	0.003	0.004	0.01
39	0.577	0.422	0.512	0.243	0.00533	0.00512	0.13	0.47	1.3	0.18	0.51	0.89	0.003	0.004	0.01
40	0.573	0.421	0.512	0.244	0.00528	0.00508	0.13	0.46	1.3	0.18	0.51	0.89	0.003	0.004	0.01
41	0.57	0.42	0.512	0.244	0.00526	0.00505	0.13	0.46	1.3	0.18	0.51	0.9	0.003	0.004	0.01
42	0.567	0.419	0.513	0.245	0.00525	0.00504	0.12	0.46	1.3	0.18	0.51	0.9	0.003	0.004	0.01
43	0.564	0.418	0.513	0.245	0.00526	0.00505	0.12	0.46	1.3	0.18	0.51	0.9	0.003	0.004	0.01
44	0.561	0.418	0.513	0.246	0.00522	0.00502	0.12	0.45	1.3	0.18	0.51	0.9	0.003	0.004	0.01
45	0.559	0.417	0.513	0.247	0.00525	0.00502	0.12	0.45	1.3	0.18	0.51	0.9	0.003	0.004	0.01
46	0.556	0.416	0.513	0.247	0.00524	0.00502	0.12	0.45	1.3	0.18	0.51	0.9	0.003	0.004	0.01
47	0.554	0.415	0.513	0.248	0.00526	0.00501	0.12	0.45	1.3	0.18	0.51	0.9	0.003	0.004	0.01
48	0.551	0.415	0.513	0.248	0.00534	0.00508	0.12	0.44	1.3	0.18	0.51	0.9	0.003	0.004	0.01
49	0.549	0.414	0.513	0.249	0.0053	0.00504	0.12	0.44	1.3	0.18	0.51	0.9	0.003	0.004	0.01
50	0.547	0.413	0.513	0.25	0.00537	0.00509	0.11	0.44	1.3	0.17	0.51	0.9	0.003	0.004	0.01
