Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.562	0.512	0.499	0.286	0.00162	0.00182	0.05	0.42	1.6	0.1	0.51	0.95	0.0007	0.001	0.004
2	0.561	0.505	0.498	0.285	0.00388	0.00452	0.06	0.42	1.5	0.1	0.51	0.95	0.002	0.003	0.01
3	0.56	0.498	0.497	0.283	0.00559	0.00706	0.06	0.43	1.5	0.11	0.51	0.94	0.002	0.004	0.01
4	0.557	0.491	0.497	0.281	0.00696	0.00923	0.06	0.43	1.5	0.11	0.5	0.94	0.003	0.005	0.02
5	0.552	0.484	0.497	0.28	0.00805	0.011	0.06	0.42	1.5	0.11	0.5	0.94	0.003	0.005	0.02
6	0.546	0.478	0.497	0.28	0.00877	0.0123	0.07	0.41	1.5	0.11	0.5	0.94	0.004	0.006	0.02
7	0.539	0.473	0.497	0.28	0.00927	0.0131	0.07	0.41	1.5	0.11	0.5	0.94	0.004	0.006	0.02
8	0.532	0.467	0.497	0.281	0.00964	0.0136	0.07	0.4	1.5	0.11	0.5	0.94	0.004	0.006	0.02
