Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.65	0.535	0.492	0.266	0.000582	0.000412	0.12	0.5	1.7	0.13	0.49	0.91	0.0003	0.0005	0.001
2	0.671	0.528	0.491	0.255	0.00169	0.00128	0.13	0.54	1.7	0.14	0.49	0.9	0.0009	0.001	0.004
3	0.691	0.519	0.49	0.243	0.00257	0.00222	0.15	0.57	1.7	0.16	0.49	0.89	0.001	0.002	0.005
4	0.698	0.51	0.49	0.236	0.00314	0.00303	0.16	0.58	1.7	0.17	0.49	0.88	0.002	0.003	0.006
5	0.695	0.503	0.49	0.234	0.00352	0.00368	0.17	0.58	1.7	0.17	0.49	0.89	0.002	0.003	0.006
6	0.688	0.497	0.489	0.233	0.00378	0.00425	0.17	0.57	1.7	0.17	0.49	0.89	0.002	0.003	0.007
7	0.68	0.491	0.489	0.233	0.00399	0.00461	0.16	0.56	1.7	0.17	0.49	0.89	0.002	0.003	0.007
8	0.67	0.486	0.489	0.234	0.00418	0.00491	0.16	0.56	1.6	0.17	0.49	0.89	0.002	0.003	0.007
