Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.639	0.561	0.503	0.273	0.00175	0.00179	0.08	0.49	1.8	0.12	0.5	0.94	0.0008	0.001	0.004
2	0.644	0.554	0.502	0.271	0.00424	0.0046	0.09	0.5	1.8	0.13	0.5	0.93	0.002	0.003	0.009
3	0.646	0.547	0.501	0.268	0.00615	0.00753	0.1	0.51	1.8	0.13	0.5	0.93	0.003	0.005	0.01
4	0.643	0.539	0.501	0.266	0.00776	0.01	0.1	0.51	1.8	0.13	0.5	0.93	0.004	0.006	0.02
5	0.637	0.532	0.501	0.266	0.009	0.0116	0.1	0.51	1.7	0.13	0.5	0.93	0.004	0.007	0.02
6	0.63	0.525	0.501	0.266	0.00989	0.0128	0.1	0.51	1.7	0.13	0.5	0.93	0.005	0.007	0.02
7	0.622	0.52	0.501	0.266	0.0106	0.014	0.1	0.5	1.7	0.13	0.5	0.93	0.005	0.008	0.02
8	0.613	0.514	0.501	0.267	0.0111	0.0149	0.1	0.49	1.7	0.13	0.5	0.93	0.005	0.008	0.02
9	0.605	0.509	0.501	0.268	0.0115	0.0155	0.1	0.48	1.7	0.13	0.5	0.93	0.006	0.008	0.02
10	0.597	0.504	0.502	0.269	0.0119	0.0161	0.1	0.47	1.6	0.13	0.5	0.93	0.006	0.009	0.02
11	0.589	0.499	0.502	0.27	0.0123	0.0166	0.1	0.46	1.6	0.13	0.5	0.93	0.006	0.009	0.02
12	0.582	0.495	0.502	0.271	0.0127	0.0171	0.1	0.46	1.6	0.13	0.5	0.93	0.006	0.009	0.02
13	0.575	0.491	0.502	0.272	0.013	0.0175	0.09	0.45	1.6	0.12	0.5	0.94	0.006	0.01	0.02
14	0.569	0.487	0.502	0.272	0.0132	0.0177	0.09	0.45	1.6	0.12	0.5	0.94	0.006	0.01	0.02
15	0.564	0.483	0.502	0.273	0.0134	0.0178	0.09	0.44	1.6	0.12	0.5	0.94	0.007	0.01	0.02
16	0.56	0.479	0.502	0.273	0.0135	0.0177	0.09	0.44	1.6	0.12	0.5	0.93	0.007	0.01	0.03
17	0.556	0.476	0.502	0.273	0.0134	0.0175	0.09	0.44	1.5	0.12	0.5	0.93	0.007	0.01	0.02
18	0.553	0.472	0.503	0.272	0.0134	0.0173	0.09	0.43	1.5	0.12	0.5	0.93	0.007	0.01	0.02
19	0.55	0.469	0.503	0.271	0.0134	0.0172	0.09	0.43	1.5	0.13	0.5	0.93	0.007	0.01	0.02
20	0.548	0.466	0.503	0.271	0.0134	0.0171	0.09	0.43	1.5	0.13	0.5	0.93	0.007	0.01	0.02
21	0.546	0.463	0.503	0.269	0.0133	0.0167	0.09	0.43	1.5	0.13	0.5	0.93	0.007	0.01	0.02
22	0.545	0.46	0.503	0.269	0.0131	0.0165	0.09	0.43	1.5	0.13	0.5	0.93	0.007	0.01	0.02
23	0.544	0.457	0.503	0.268	0.0131	0.0163	0.09	0.43	1.5	0.13	0.5	0.93	0.007	0.01	0.02
24	0.544	0.454	0.503	0.266	0.0131	0.0161	0.1	0.43	1.5	0.13	0.5	0.93	0.007	0.01	0.02
25	0.543	0.452	0.503	0.265	0.013	0.0159	0.1	0.43	1.5	0.13	0.5	0.92	0.007	0.01	0.02
26	0.544	0.449	0.503	0.264	0.0129	0.0157	0.1	0.43	1.5	0.14	0.5	0.92	0.007	0.01	0.02
27	0.545	0.447	0.503	0.262	0.0128	0.0155	0.1	0.43	1.5	0.14	0.5	0.92	0.007	0.01	0.02
28	0.546	0.445	0.503	0.261	0.0132	0.0157	0.1	0.43	1.5	0.14	0.5	0.92	0.007	0.01	0.02
29	0.543	0.443	0.503	0.261	0.0118	0.0143	0.1	0.43	1.5	0.14	0.5	0.92	0.006	0.009	0.02
30	0.54	0.441	0.503	0.262	0.0112	0.0137	0.1	0.42	1.5	0.14	0.5	0.92	0.006	0.009	0.02
31	0.536	0.439	0.503	0.262	0.0108	0.0132	0.1	0.43	1.4	0.14	0.5	0.92	0.006	0.008	0.02
32	0.533	0.438	0.503	0.263	0.0105	0.0129	0.1	0.42	1.4	0.13	0.5	0.92	0.006	0.008	0.02
33	0.529	0.436	0.503	0.264	0.0102	0.0125	0.1	0.42	1.4	0.13	0.5	0.92	0.005	0.008	0.02
34	0.525	0.435	0.503	0.266	0.0101	0.0124	0.09	0.41	1.4	0.13	0.5	0.92	0.005	0.008	0.02
35	0.521	0.434	0.503	0.266	0.00989	0.0122	0.09	0.41	1.4	0.13	0.5	0.92	0.005	0.008	0.02
36	0.518	0.432	0.503	0.267	0.00961	0.0118	0.09	0.41	1.4	0.13	0.5	0.92	0.005	0.007	0.02
37	0.514	0.431	0.503	0.268	0.0095	0.0116	0.09	0.4	1.4	0.13	0.5	0.93	0.005	0.007	0.02
38	0.511	0.43	0.503	0.269	0.00941	0.0115	0.09	0.4	1.4	0.13	0.5	0.93	0.005	0.007	0.02
39	0.507	0.429	0.503	0.27	0.00944	0.0114	0.09	0.39	1.4	0.13	0.5	0.93	0.005	0.007	0.02
40	0.504	0.428	0.503	0.271	0.00942	0.0113	0.08	0.39	1.4	0.12	0.5	0.93	0.005	0.007	0.02
41	0.502	0.427	0.503	0.272	0.00927	0.0111	0.08	0.39	1.4	0.12	0.5	0.93	0.005	0.007	0.02
42	0.499	0.426	0.503	0.273	0.00929	0.0111	0.08	0.38	1.4	0.12	0.5	0.93	0.005	0.007	0.02
43	0.496	0.426	0.503	0.274	0.00934	0.0111	0.08	0.38	1.4	0.12	0.5	0.93	0.005	0.007	0.02
44	0.494	0.425	0.503	0.274	0.00912	0.0108	0.08	0.38	1.4	0.12	0.5	0.93	0.005	0.007	0.02
45	0.491	0.424	0.503	0.275	0.00923	0.0108	0.08	0.38	1.4	0.12	0.5	0.93	0.005	0.007	0.02
46	0.489	0.423	0.503	0.276	0.00909	0.0107	0.08	0.37	1.4	0.12	0.5	0.93	0.005	0.007	0.02
47	0.487	0.422	0.503	0.276	0.00919	0.0107	0.08	0.37	1.4	0.12	0.5	0.93	0.005	0.007	0.02
48	0.485	0.422	0.503	0.277	0.00952	0.011	0.07	0.37	1.4	0.12	0.5	0.93	0.005	0.007	0.02
49	0.483	0.421	0.503	0.277	0.00917	0.0106	0.07	0.37	1.4	0.12	0.5	0.93	0.005	0.007	0.02
50	0.481	0.421	0.503	0.278	0.00945	0.0108	0.07	0.37	1.4	0.12	0.5	0.94	0.005	0.007	0.02
51	0.479	0.42	0.503	0.278	0.00962	0.0109	0.07	0.37	1.4	0.12	0.5	0.94	0.005	0.007	0.02
52	0.477	0.419	0.503	0.279	0.00938	0.0107	0.07	0.36	1.4	0.11	0.5	0.94	0.005	0.007	0.02
53	0.476	0.419	0.503	0.279	0.00973	0.011	0.07	0.36	1.4	0.11	0.5	0.94	0.005	0.007	0.02
