Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.642	0.53	0.493	0.269	0.000546	0.000468	0.1	0.49	1.7	0.13	0.49	0.91	0.0002	0.0004	0.001
2	0.663	0.522	0.492	0.258	0.00156	0.00135	0.12	0.52	1.7	0.14	0.49	0.9	0.0008	0.001	0.003
3	0.691	0.512	0.492	0.241	0.00234	0.00205	0.14	0.55	1.7	0.16	0.49	0.88	0.001	0.002	0.005
4	0.704	0.503	0.492	0.231	0.00282	0.00244	0.16	0.58	1.7	0.18	0.49	0.86	0.002	0.002	0.005
5	0.705	0.495	0.492	0.228	0.00312	0.00274	0.17	0.57	1.7	0.18	0.48	0.86	0.002	0.003	0.006
6	0.699	0.488	0.491	0.226	0.00331	0.00297	0.18	0.57	1.6	0.18	0.48	0.86	0.002	0.003	0.006
7	0.692	0.483	0.491	0.226	0.00348	0.00323	0.17	0.56	1.6	0.19	0.47	0.86	0.002	0.003	0.006
8	0.683	0.477	0.491	0.227	0.00363	0.00344	0.17	0.56	1.6	0.19	0.47	0.86	0.002	0.003	0.007
