Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.647	0.529	0.499	0.267	2.93e-05	2.84e-05	0.11	0.5	1.7	0.13	0.5	0.92	1e-05	2e-05	7e-05
2	0.661	0.521	0.499	0.258	0.000159	0.000173	0.12	0.52	1.7	0.14	0.49	0.91	7e-05	0.0001	0.0003
3	0.675	0.512	0.497	0.245	0.000381	0.000414	0.13	0.55	1.7	0.16	0.49	0.9	0.0002	0.0003	0.0008
4	0.678	0.502	0.495	0.237	0.000612	0.000656	0.14	0.56	1.7	0.17	0.49	0.89	0.0003	0.0005	0.001
5	0.674	0.494	0.494	0.234	0.000806	0.000908	0.15	0.56	1.6	0.18	0.49	0.89	0.0004	0.0006	0.002
6	0.668	0.487	0.493	0.233	0.000962	0.00118	0.15	0.55	1.6	0.18	0.49	0.89	0.0005	0.0007	0.002
7	0.66	0.481	0.492	0.233	0.00108	0.00138	0.15	0.54	1.6	0.18	0.49	0.89	0.0005	0.0008	0.002
8	0.652	0.475	0.491	0.233	0.00118	0.00153	0.15	0.53	1.6	0.18	0.49	0.89	0.0006	0.0009	0.002
