Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.651	0.548	0.497	0.272	0.000495	0.000468	0.1	0.49	1.7	0.13	0.48	0.92	0.0002	0.0004	0.001
2	0.669	0.537	0.496	0.261	0.00148	0.00177	0.12	0.52	1.7	0.15	0.49	0.91	0.0007	0.001	0.003
3	0.685	0.526	0.496	0.248	0.00238	0.00349	0.14	0.56	1.7	0.16	0.48	0.9	0.001	0.002	0.005
4	0.686	0.518	0.496	0.242	0.00298	0.00463	0.15	0.56	1.7	0.17	0.49	0.89	0.001	0.002	0.005
5	0.68	0.511	0.496	0.239	0.00333	0.00515	0.15	0.55	1.7	0.17	0.49	0.89	0.002	0.002	0.006
6	0.671	0.506	0.496	0.239	0.00353	0.00539	0.15	0.55	1.6	0.17	0.49	0.89	0.002	0.003	0.006
7	0.662	0.501	0.496	0.24	0.0037	0.00554	0.15	0.55	1.6	0.17	0.49	0.89	0.002	0.003	0.007
8	0.652	0.496	0.497	0.24	0.00385	0.00572	0.14	0.54	1.6	0.17	0.49	0.9	0.002	0.003	0.007
9	0.643	0.491	0.497	0.242	0.00399	0.00585	0.14	0.53	1.6	0.17	0.49	0.9	0.002	0.003	0.007
10	0.633	0.487	0.497	0.243	0.0041	0.00589	0.13	0.52	1.6	0.17	0.49	0.9	0.002	0.003	0.008
11	0.623	0.483	0.497	0.244	0.00424	0.00598	0.13	0.51	1.6	0.16	0.49	0.9	0.002	0.003	0.008
12	0.614	0.479	0.497	0.245	0.00435	0.00605	0.12	0.5	1.5	0.16	0.49	0.91	0.002	0.003	0.008
13	0.605	0.475	0.497	0.247	0.00446	0.00612	0.12	0.49	1.5	0.16	0.49	0.91	0.002	0.003	0.008
14	0.598	0.472	0.497	0.248	0.00458	0.00624	0.12	0.48	1.5	0.16	0.49	0.91	0.002	0.003	0.009
15	0.591	0.468	0.497	0.249	0.00468	0.00632	0.11	0.47	1.5	0.16	0.49	0.91	0.002	0.003	0.009
16	0.585	0.465	0.497	0.249	0.00482	0.00645	0.11	0.46	1.5	0.16	0.49	0.91	0.002	0.004	0.009
17	0.58	0.462	0.497	0.249	0.0049	0.00657	0.11	0.46	1.5	0.16	0.49	0.91	0.002	0.004	0.009
18	0.576	0.458	0.497	0.25	0.00502	0.0067	0.11	0.45	1.5	0.16	0.49	0.91	0.002	0.004	0.01
19	0.572	0.455	0.497	0.249	0.00506	0.00669	0.11	0.45	1.5	0.16	0.49	0.91	0.002	0.004	0.01
20	0.569	0.452	0.497	0.249	0.00518	0.00681	0.11	0.45	1.4	0.16	0.49	0.9	0.002	0.004	0.01
21	0.567	0.449	0.497	0.248	0.00525	0.00686	0.11	0.45	1.4	0.16	0.49	0.9	0.002	0.004	0.01
22	0.565	0.446	0.497	0.248	0.0053	0.00689	0.12	0.45	1.4	0.17	0.49	0.9	0.003	0.004	0.01
23	0.564	0.443	0.497	0.247	0.00539	0.00697	0.12	0.45	1.4	0.16	0.49	0.9	0.003	0.004	0.01
24	0.563	0.441	0.497	0.246	0.00545	0.00698	0.12	0.45	1.4	0.17	0.49	0.9	0.003	0.004	0.01
25	0.562	0.438	0.497	0.245	0.00552	0.007	0.12	0.45	1.4	0.17	0.49	0.9	0.003	0.004	0.01
26	0.562	0.436	0.497	0.244	0.00554	0.00699	0.12	0.45	1.4	0.17	0.49	0.9	0.003	0.004	0.01
27	0.561	0.433	0.497	0.243	0.00561	0.00704	0.12	0.45	1.4	0.17	0.49	0.9	0.003	0.004	0.01
28	0.561	0.431	0.497	0.242	0.00563	0.00699	0.12	0.45	1.4	0.17	0.49	0.89	0.003	0.004	0.01
29	0.561	0.429	0.497	0.242	0.00552	0.00702	0.12	0.45	1.4	0.17	0.49	0.89	0.003	0.004	0.01
30	0.558	0.427	0.497	0.242	0.00546	0.00704	0.12	0.45	1.4	0.17	0.49	0.89	0.003	0.004	0.01
31	0.556	0.426	0.496	0.242	0.00539	0.00701	0.12	0.45	1.4	0.17	0.49	0.89	0.003	0.004	0.01
32	0.553	0.424	0.496	0.243	0.00536	0.00699	0.12	0.44	1.4	0.17	0.49	0.89	0.003	0.004	0.01
33	0.55	0.423	0.496	0.243	0.00531	0.00693	0.12	0.44	1.4	0.17	0.49	0.89	0.003	0.004	0.009
34	0.547	0.421	0.496	0.244	0.00528	0.00689	0.12	0.44	1.4	0.17	0.49	0.9	0.003	0.004	0.009
35	0.543	0.42	0.495	0.244	0.00528	0.00688	0.12	0.44	1.4	0.17	0.49	0.9	0.003	0.004	0.009
36	0.54	0.419	0.495	0.245	0.00524	0.00681	0.12	0.43	1.3	0.17	0.49	0.9	0.003	0.004	0.009
37	0.537	0.418	0.495	0.246	0.00521	0.00674	0.12	0.43	1.3	0.17	0.49	0.9	0.003	0.004	0.009
38	0.534	0.417	0.495	0.246	0.00521	0.00671	0.11	0.43	1.3	0.17	0.48	0.9	0.003	0.004	0.009
39	0.531	0.415	0.495	0.247	0.00522	0.0067	0.11	0.42	1.3	0.17	0.49	0.9	0.003	0.004	0.009
40	0.529	0.414	0.494	0.248	0.0052	0.00663	0.11	0.42	1.3	0.16	0.48	0.9	0.003	0.004	0.009
41	0.526	0.413	0.494	0.249	0.00521	0.00662	0.11	0.42	1.3	0.16	0.49	0.9	0.003	0.004	0.009
42	0.523	0.413	0.494	0.249	0.00519	0.00656	0.11	0.42	1.3	0.16	0.48	0.9	0.003	0.004	0.009
43	0.521	0.412	0.494	0.25	0.0052	0.00652	0.11	0.41	1.3	0.16	0.48	0.9	0.003	0.004	0.009
44	0.518	0.411	0.494	0.25	0.00519	0.00647	0.11	0.41	1.3	0.16	0.48	0.9	0.003	0.004	0.009
45	0.516	0.41	0.494	0.251	0.0052	0.00646	0.1	0.41	1.3	0.16	0.48	0.91	0.003	0.004	0.009
46	0.513	0.409	0.494	0.252	0.00519	0.00641	0.1	0.41	1.3	0.16	0.48	0.91	0.003	0.004	0.009
47	0.511	0.409	0.494	0.252	0.00522	0.00641	0.1	0.4	1.3	0.16	0.48	0.91	0.003	0.004	0.009
48	0.509	0.408	0.494	0.253	0.00526	0.00644	0.1	0.4	1.3	0.16	0.48	0.91	0.003	0.004	0.01
49	0.507	0.407	0.494	0.253	0.00524	0.00637	0.1	0.4	1.3	0.16	0.48	0.91	0.003	0.004	0.009
50	0.505	0.407	0.494	0.254	0.00528	0.0064	0.1	0.4	1.3	0.15	0.48	0.91	0.003	0.004	0.01
51	0.503	0.406	0.493	0.254	0.0053	0.00639	0.1	0.4	1.3	0.15	0.48	0.91	0.003	0.004	0.01
52	0.502	0.405	0.493	0.255	0.00529	0.00635	0.1	0.39	1.3	0.15	0.48	0.91	0.003	0.004	0.01
