Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.64	0.536	0.487	0.273	0.000727	0.000609	0.09	0.49	1.7	0.12	0.49	0.91	0.0004	0.0005	0.002
2	0.656	0.529	0.487	0.264	0.00201	0.00177	0.11	0.51	1.7	0.13	0.48	0.9	0.001	0.002	0.004
3	0.675	0.519	0.486	0.251	0.00297	0.00285	0.12	0.53	1.7	0.15	0.48	0.88	0.002	0.002	0.006
4	0.68	0.511	0.485	0.245	0.00362	0.00393	0.14	0.54	1.7	0.16	0.48	0.88	0.002	0.003	0.007
5	0.678	0.504	0.485	0.243	0.00409	0.0049	0.14	0.54	1.7	0.16	0.48	0.87	0.002	0.003	0.008
6	0.671	0.498	0.485	0.242	0.00442	0.00567	0.14	0.54	1.6	0.16	0.48	0.87	0.002	0.003	0.008
7	0.663	0.492	0.485	0.242	0.0047	0.00626	0.14	0.53	1.6	0.16	0.48	0.87	0.002	0.004	0.009
8	0.654	0.487	0.485	0.242	0.00494	0.0067	0.14	0.52	1.6	0.16	0.48	0.87	0.003	0.004	0.009
9	0.645	0.482	0.485	0.243	0.00517	0.00704	0.13	0.52	1.6	0.16	0.48	0.88	0.003	0.004	0.009
10	0.636	0.477	0.485	0.244	0.00539	0.00731	0.13	0.51	1.6	0.16	0.48	0.88	0.003	0.004	0.01
11	0.627	0.473	0.485	0.245	0.00557	0.00749	0.13	0.5	1.6	0.16	0.48	0.88	0.003	0.004	0.01
12	0.619	0.468	0.485	0.246	0.00575	0.00767	0.13	0.49	1.5	0.15	0.48	0.88	0.003	0.004	0.01
13	0.611	0.465	0.485	0.247	0.00594	0.00782	0.12	0.48	1.5	0.15	0.48	0.88	0.003	0.005	0.01
14	0.604	0.461	0.485	0.248	0.00613	0.00797	0.12	0.48	1.5	0.15	0.48	0.88	0.003	0.005	0.01
15	0.597	0.457	0.485	0.249	0.00629	0.00808	0.12	0.47	1.5	0.15	0.48	0.88	0.003	0.005	0.01
16	0.591	0.453	0.486	0.249	0.00647	0.00819	0.12	0.47	1.5	0.15	0.48	0.88	0.003	0.005	0.01
17	0.587	0.45	0.486	0.249	0.00656	0.00822	0.12	0.46	1.5	0.15	0.48	0.88	0.003	0.005	0.01
18	0.583	0.447	0.486	0.249	0.00666	0.00819	0.12	0.46	1.5	0.15	0.48	0.88	0.003	0.005	0.01
19	0.58	0.444	0.486	0.248	0.00668	0.00813	0.12	0.46	1.5	0.15	0.48	0.88	0.004	0.005	0.01
20	0.578	0.441	0.486	0.248	0.00673	0.00806	0.12	0.45	1.5	0.15	0.48	0.88	0.004	0.005	0.01
21	0.575	0.438	0.486	0.247	0.00678	0.00801	0.12	0.46	1.4	0.16	0.48	0.87	0.004	0.005	0.01
22	0.574	0.435	0.487	0.247	0.00682	0.00793	0.12	0.45	1.4	0.16	0.49	0.87	0.004	0.005	0.01
23	0.573	0.433	0.487	0.246	0.00683	0.0078	0.12	0.46	1.4	0.16	0.49	0.87	0.004	0.005	0.01
24	0.572	0.43	0.487	0.245	0.00685	0.00762	0.12	0.46	1.4	0.16	0.49	0.87	0.004	0.005	0.01
25	0.572	0.428	0.487	0.244	0.00686	0.00744	0.12	0.46	1.4	0.16	0.49	0.87	0.004	0.006	0.01
26	0.572	0.426	0.487	0.242	0.00688	0.00735	0.12	0.46	1.4	0.16	0.49	0.87	0.004	0.006	0.01
27	0.572	0.424	0.487	0.241	0.00687	0.00713	0.13	0.46	1.4	0.16	0.49	0.87	0.004	0.006	0.01
28	0.573	0.421	0.488	0.24	0.00692	0.00705	0.13	0.46	1.4	0.16	0.49	0.87	0.004	0.006	0.01
29	0.574	0.419	0.487	0.239	0.00645	0.00681	0.13	0.46	1.4	0.16	0.49	0.87	0.004	0.005	0.01
30	0.573	0.417	0.487	0.238	0.00619	0.00672	0.13	0.46	1.4	0.17	0.49	0.87	0.003	0.005	0.01
31	0.57	0.416	0.487	0.238	0.00596	0.00665	0.13	0.46	1.4	0.17	0.49	0.87	0.003	0.005	0.01
32	0.567	0.414	0.487	0.239	0.00582	0.00656	0.13	0.46	1.4	0.17	0.49	0.87	0.003	0.005	0.01
33	0.564	0.413	0.487	0.239	0.00569	0.00652	0.13	0.46	1.4	0.17	0.49	0.87	0.003	0.005	0.01
34	0.561	0.411	0.487	0.24	0.0056	0.00644	0.13	0.45	1.4	0.17	0.49	0.87	0.003	0.005	0.01
35	0.558	0.41	0.487	0.24	0.00553	0.00641	0.13	0.45	1.4	0.16	0.49	0.87	0.003	0.004	0.01
36	0.555	0.409	0.486	0.241	0.00544	0.00631	0.12	0.45	1.4	0.16	0.48	0.87	0.003	0.004	0.01
37	0.551	0.407	0.486	0.241	0.00539	0.00625	0.12	0.45	1.3	0.16	0.49	0.87	0.003	0.004	0.01
38	0.548	0.406	0.486	0.242	0.00534	0.00622	0.12	0.44	1.3	0.16	0.49	0.87	0.003	0.004	0.01
39	0.545	0.405	0.486	0.243	0.00533	0.00621	0.12	0.44	1.3	0.16	0.49	0.87	0.003	0.004	0.009
40	0.542	0.404	0.486	0.244	0.00529	0.00614	0.12	0.44	1.3	0.16	0.48	0.87	0.003	0.004	0.009
41	0.539	0.403	0.486	0.244	0.00526	0.00609	0.12	0.43	1.3	0.16	0.48	0.87	0.003	0.004	0.009
42	0.536	0.402	0.486	0.245	0.00526	0.00607	0.12	0.43	1.3	0.16	0.48	0.88	0.003	0.004	0.009
43	0.533	0.401	0.486	0.246	0.00523	0.006	0.11	0.43	1.3	0.16	0.48	0.88	0.003	0.004	0.009
44	0.53	0.401	0.486	0.246	0.00522	0.00596	0.11	0.43	1.3	0.16	0.48	0.88	0.003	0.004	0.009
45	0.527	0.4	0.486	0.247	0.00523	0.00596	0.11	0.42	1.3	0.16	0.48	0.88	0.003	0.004	0.009
46	0.525	0.399	0.486	0.247	0.00523	0.00594	0.11	0.42	1.3	0.15	0.48	0.88	0.003	0.004	0.009
47	0.523	0.398	0.486	0.248	0.00524	0.00593	0.11	0.42	1.3	0.15	0.48	0.88	0.003	0.004	0.009
48	0.52	0.398	0.486	0.249	0.00531	0.00597	0.11	0.42	1.3	0.15	0.48	0.88	0.003	0.004	0.01
49	0.518	0.397	0.486	0.249	0.00528	0.0059	0.11	0.41	1.3	0.15	0.48	0.88	0.003	0.004	0.01
50	0.516	0.396	0.486	0.25	0.00536	0.00596	0.1	0.41	1.3	0.15	0.48	0.88	0.003	0.004	0.01
