Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.61	0.371	0.491	0.203	0.00409	0.00165	0.2	0.54	1.3	0.21	0.49	0.82	0.003	0.004	0.007
2	0.329	0.19	0.484	0.198	0.00594	0.00217	0.12	0.29	0.69	0.22	0.48	0.81	0.004	0.005	0.01
3	0.203	0.101	0.474	0.177	0.00778	0.00252	0.09	0.19	0.39	0.24	0.47	0.77	0.005	0.007	0.01
4	0.159	0.0575	0.464	0.138	0.00881	0.00223	0.09	0.16	0.25	0.28	0.46	0.69	0.007	0.008	0.01
5	0.144	0.036	0.457	0.0989	0.00906	0.00177	0.1	0.14	0.2	0.33	0.46	0.62	0.007	0.009	0.01
6	0.137	0.0267	0.452	0.0744	0.00914	0.00155	0.1	0.14	0.18	0.36	0.45	0.57	0.007	0.009	0.01
7	0.136	0.0224	0.45	0.0605	0.00908	0.00144	0.11	0.14	0.17	0.37	0.45	0.55	0.007	0.009	0.01
8	0.135	0.0205	0.449	0.0551	0.00919	0.00138	0.11	0.13	0.17	0.38	0.45	0.54	0.008	0.009	0.01
9	0.135	0.0197	0.447	0.051	0.0092	0.00134	0.11	0.13	0.17	0.39	0.44	0.53	0.008	0.009	0.01
10	0.134	0.0196	0.443	0.0501	0.00923	0.00135	0.11	0.13	0.17	0.38	0.44	0.52	0.008	0.009	0.01
11	0.132	0.0197	0.442	0.0487	0.00933	0.00134	0.11	0.13	0.16	0.38	0.44	0.52	0.008	0.009	0.01
12	0.133	0.0202	0.44	0.0487	0.00935	0.00136	0.11	0.13	0.17	0.38	0.44	0.52	0.008	0.009	0.01
13	0.132	0.02	0.441	0.0478	0.00949	0.00144	0.11	0.13	0.17	0.38	0.44	0.52	0.008	0.009	0.01
14	0.133	0.0206	0.438	0.0463	0.00946	0.00147	0.11	0.13	0.17	0.39	0.44	0.51	0.008	0.009	0.01
15	0.131	0.0208	0.438	0.0469	0.0096	0.00149	0.11	0.13	0.16	0.38	0.44	0.51	0.008	0.009	0.01
16	0.131	0.0203	0.438	0.0457	0.0097	0.00151	0.11	0.13	0.16	0.38	0.44	0.51	0.008	0.009	0.01
17	0.132	0.0208	0.436	0.0478	0.00966	0.00153	0.11	0.13	0.17	0.38	0.44	0.51	0.008	0.009	0.01
