Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.637	0.389	0.506	0.206	0.00401	0.00157	0.21	0.56	1.4	0.24	0.5	0.83	0.003	0.004	0.007
2	0.34	0.198	0.5	0.203	0.00589	0.00205	0.12	0.3	0.71	0.23	0.49	0.83	0.004	0.005	0.01
3	0.213	0.105	0.491	0.181	0.00763	0.00226	0.1	0.2	0.4	0.26	0.48	0.78	0.005	0.007	0.01
4	0.165	0.0574	0.477	0.138	0.00865	0.00202	0.09	0.16	0.26	0.3	0.47	0.7	0.007	0.008	0.01
5	0.148	0.0363	0.463	0.0985	0.009	0.00175	0.1	0.15	0.21	0.34	0.46	0.63	0.007	0.009	0.01
6	0.141	0.0269	0.454	0.0746	0.00913	0.0015	0.11	0.14	0.18	0.36	0.46	0.57	0.007	0.009	0.01
7	0.139	0.0224	0.45	0.0583	0.00907	0.00138	0.11	0.14	0.18	0.38	0.45	0.54	0.008	0.009	0.01
8	0.137	0.0206	0.449	0.0516	0.0092	0.00132	0.11	0.14	0.17	0.39	0.45	0.53	0.008	0.009	0.01
9	0.136	0.0207	0.445	0.0485	0.00913	0.00132	0.11	0.14	0.17	0.39	0.45	0.52	0.008	0.009	0.01
10	0.136	0.021	0.442	0.0475	0.00919	0.00135	0.11	0.14	0.17	0.38	0.44	0.51	0.008	0.009	0.01
11	0.135	0.021	0.442	0.046	0.00921	0.00136	0.11	0.13	0.17	0.39	0.44	0.51	0.008	0.009	0.01
12	0.135	0.0212	0.44	0.0468	0.00927	0.00139	0.11	0.14	0.17	0.39	0.44	0.51	0.008	0.009	0.01
13	0.133	0.0219	0.439	0.0475	0.0094	0.00145	0.11	0.13	0.17	0.38	0.44	0.51	0.008	0.009	0.01
14	0.133	0.0228	0.437	0.0481	0.00939	0.00153	0.1	0.13	0.17	0.38	0.44	0.51	0.008	0.009	0.01
15	0.132	0.0232	0.434	0.0489	0.00952	0.00153	0.1	0.13	0.17	0.38	0.44	0.51	0.008	0.009	0.01
16	0.133	0.0228	0.43	0.0493	0.00959	0.00151	0.1	0.13	0.17	0.37	0.43	0.51	0.008	0.009	0.01
17	0.133	0.0238	0.428	0.0528	0.0096	0.00162	0.1	0.13	0.17	0.36	0.43	0.51	0.008	0.009	0.01
18	0.131	0.0241	0.426	0.0536	0.00977	0.00159	0.1	0.13	0.17	0.36	0.43	0.51	0.008	0.01	0.01
19	0.13	0.024	0.424	0.0532	0.00985	0.00166	0.1	0.13	0.17	0.36	0.43	0.5	0.008	0.01	0.01
20	0.13	0.0248	0.421	0.0549	0.00993	0.00166	0.1	0.13	0.17	0.35	0.43	0.5	0.008	0.01	0.01
