Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.56	0.39	0.487	0.222	0.0056	0.00368	0.15	0.47	1.3	0.2	0.48	0.85	0.003	0.005	0.01
2	0.324	0.195	0.471	0.202	0.00766	0.00323	0.12	0.28	0.7	0.22	0.46	0.81	0.005	0.007	0.01
3	0.226	0.101	0.456	0.163	0.0091	0.00331	0.11	0.21	0.42	0.25	0.45	0.74	0.006	0.009	0.01
4	0.191	0.0573	0.438	0.12	0.00974	0.00307	0.12	0.19	0.29	0.28	0.44	0.64	0.006	0.009	0.02
5	0.176	0.0381	0.419	0.0871	0.00996	0.00305	0.12	0.18	0.24	0.3	0.42	0.56	0.006	0.01	0.02
6	0.165	0.0323	0.409	0.0697	0.0101	0.00319	0.12	0.17	0.21	0.32	0.42	0.51	0.006	0.01	0.02
7	0.157	0.0328	0.401	0.0623	0.0102	0.00334	0.11	0.16	0.21	0.31	0.41	0.49	0.006	0.01	0.02
8	0.151	0.0346	0.396	0.0589	0.0104	0.00358	0.11	0.15	0.2	0.32	0.4	0.48	0.006	0.01	0.02
9	0.144	0.0359	0.39	0.0591	0.0105	0.0038	0.1	0.14	0.2	0.31	0.4	0.47	0.006	0.01	0.02
10	0.137	0.0375	0.387	0.0612	0.0108	0.00402	0.09	0.14	0.2	0.3	0.39	0.47	0.006	0.01	0.02
11	0.132	0.038	0.385	0.0626	0.0111	0.00402	0.08	0.13	0.19	0.3	0.39	0.48	0.006	0.01	0.02
12	0.13	0.038	0.381	0.0643	0.0112	0.00423	0.08	0.13	0.19	0.29	0.39	0.47	0.006	0.01	0.02
13	0.127	0.0375	0.379	0.0658	0.0113	0.00433	0.08	0.13	0.19	0.29	0.38	0.47	0.006	0.01	0.02
14	0.123	0.0381	0.377	0.0663	0.0115	0.00439	0.07	0.12	0.18	0.29	0.38	0.47	0.006	0.01	0.02
15	0.12	0.0371	0.377	0.0678	0.0118	0.00448	0.07	0.12	0.18	0.29	0.38	0.48	0.007	0.01	0.02
16	0.122	0.0366	0.379	0.0692	0.0118	0.00448	0.07	0.12	0.18	0.29	0.38	0.49	0.007	0.01	0.02
17	0.116	0.0366	0.376	0.0701	0.0121	0.00456	0.07	0.11	0.18	0.28	0.38	0.49	0.007	0.01	0.02
18	0.113	0.0358	0.375	0.0713	0.0124	0.00468	0.07	0.11	0.17	0.28	0.38	0.49	0.007	0.01	0.02
19	0.111	0.0346	0.373	0.0723	0.0127	0.00468	0.07	0.11	0.17	0.28	0.37	0.48	0.007	0.01	0.02
20	0.108	0.0345	0.372	0.0728	0.0132	0.00472	0.06	0.11	0.16	0.28	0.37	0.49	0.008	0.01	0.02
21	0.107	0.0341	0.374	0.0726	0.0133	0.00462	0.06	0.11	0.16	0.28	0.38	0.49	0.008	0.01	0.02
22	0.103	0.0323	0.374	0.074	0.0138	0.00472	0.06	0.1	0.16	0.28	0.37	0.49	0.008	0.01	0.02
23	0.102	0.0316	0.374	0.0744	0.0141	0.00486	0.06	0.1	0.15	0.28	0.38	0.49	0.008	0.01	0.02
24	0.1	0.0311	0.377	0.0753	0.0147	0.00485	0.06	0.1	0.15	0.28	0.38	0.5	0.009	0.01	0.02
25	0.0948	0.0294	0.374	0.0748	0.0154	0.00486	0.06	0.1	0.14	0.28	0.38	0.49	0.01	0.02	0.02
26	0.0915	0.0283	0.372	0.075	0.0162	0.00476	0.05	0.09	0.14	0.27	0.37	0.49	0.01	0.02	0.02
