Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.59	0.355	0.488	0.197	0.00426	0.0016	0.2	0.53	1.2	0.23	0.49	0.81	0.003	0.004	0.007
2	0.325	0.18	0.483	0.189	0.00594	0.00198	0.13	0.3	0.65	0.23	0.48	0.79	0.004	0.006	0.01
3	0.208	0.0934	0.479	0.164	0.00763	0.00228	0.1	0.2	0.38	0.27	0.48	0.75	0.005	0.007	0.01
4	0.17	0.0509	0.473	0.121	0.00831	0.00193	0.11	0.17	0.25	0.32	0.47	0.68	0.006	0.008	0.01
5	0.155	0.0298	0.469	0.0846	0.00836	0.00141	0.12	0.15	0.2	0.36	0.47	0.61	0.007	0.008	0.01
6	0.148	0.0208	0.463	0.0619	0.00861	0.00143	0.12	0.15	0.18	0.38	0.46	0.56	0.007	0.008	0.01
7	0.147	0.0175	0.459	0.0484	0.00827	0.0012	0.12	0.15	0.18	0.4	0.46	0.53	0.007	0.008	0.01
8	0.147	0.016	0.457	0.0433	0.00826	0.00111	0.13	0.15	0.17	0.4	0.46	0.52	0.007	0.008	0.01
9	0.146	0.0153	0.455	0.04	0.00839	0.00115	0.13	0.15	0.17	0.4	0.46	0.52	0.007	0.008	0.01
10	0.146	0.0157	0.454	0.0389	0.0084	0.0011	0.13	0.15	0.17	0.41	0.45	0.52	0.007	0.008	0.01
11	0.146	0.0158	0.454	0.0384	0.00835	0.0011	0.13	0.15	0.17	0.4	0.45	0.52	0.007	0.008	0.01
12	0.147	0.0161	0.452	0.0371	0.00838	0.00113	0.13	0.15	0.17	0.4	0.45	0.51	0.007	0.008	0.01
13	0.146	0.0158	0.451	0.0363	0.00843	0.0011	0.13	0.15	0.17	0.4	0.45	0.51	0.007	0.008	0.01
14	0.145	0.0159	0.449	0.0371	0.00857	0.00115	0.13	0.14	0.17	0.4	0.45	0.51	0.007	0.008	0.01
15	0.145	0.0159	0.448	0.0355	0.00864	0.00115	0.12	0.14	0.17	0.4	0.45	0.51	0.007	0.009	0.01
16	0.145	0.0159	0.448	0.0344	0.00871	0.00115	0.13	0.14	0.17	0.4	0.45	0.51	0.007	0.009	0.01
17	0.144	0.0156	0.447	0.036	0.00876	0.0012	0.12	0.14	0.17	0.4	0.45	0.51	0.007	0.009	0.01
18	0.141	0.0154	0.446	0.0345	0.00905	0.00121	0.12	0.14	0.17	0.4	0.44	0.5	0.008	0.009	0.01
19	0.14	0.0155	0.447	0.0354	0.00915	0.00124	0.12	0.14	0.17	0.4	0.45	0.51	0.008	0.009	0.01
20	0.141	0.0159	0.448	0.0358	0.00923	0.00124	0.12	0.14	0.17	0.4	0.45	0.51	0.008	0.009	0.01
21	0.14	0.0161	0.448	0.0358	0.00941	0.00124	0.12	0.14	0.17	0.4	0.45	0.51	0.008	0.009	0.01
22	0.139	0.0156	0.448	0.0359	0.00961	0.00128	0.12	0.14	0.16	0.4	0.45	0.51	0.008	0.01	0.01
23	0.138	0.0158	0.449	0.0376	0.00974	0.00132	0.12	0.14	0.17	0.4	0.45	0.51	0.008	0.01	0.01
24	0.137	0.0154	0.447	0.0362	0.01	0.00133	0.12	0.14	0.16	0.4	0.45	0.51	0.008	0.01	0.01
25	0.136	0.0155	0.448	0.0372	0.0102	0.00133	0.12	0.14	0.16	0.4	0.45	0.51	0.009	0.01	0.01
26	0.133	0.015	0.447	0.0371	0.0105	0.00136	0.12	0.13	0.16	0.4	0.45	0.51	0.009	0.01	0.01
27	0.134	0.0146	0.448	0.0364	0.0106	0.00131	0.12	0.13	0.16	0.4	0.45	0.51	0.009	0.01	0.01
28	0.133	0.0144	0.449	0.0356	0.0108	0.00131	0.12	0.13	0.16	0.4	0.45	0.5	0.009	0.01	0.01
29	0.132	0.014	0.449	0.0363	0.011	0.00133	0.11	0.13	0.15	0.4	0.45	0.5	0.009	0.01	0.01
30	0.132	0.0138	0.451	0.0353	0.0113	0.00135	0.12	0.13	0.15	0.4	0.45	0.51	0.01	0.01	0.01
31	0.131	0.0136	0.45	0.037	0.0113	0.00138	0.11	0.13	0.15	0.4	0.45	0.51	0.01	0.01	0.01
32	0.13	0.0132	0.45	0.0373	0.0115	0.00135	0.11	0.13	0.15	0.4	0.45	0.51	0.01	0.01	0.01
33	0.129	0.0131	0.45	0.0367	0.0117	0.00136	0.11	0.13	0.15	0.4	0.45	0.51	0.01	0.01	0.01
34	0.129	0.0129	0.449	0.0364	0.0118	0.00132	0.11	0.13	0.15	0.4	0.45	0.51	0.01	0.01	0.01
36	0.129	0.0132	0.451	0.0363	0.0122	0.00134	0.11	0.13	0.15	0.4	0.45	0.51	0.01	0.01	0.01
37	0.129	0.0127	0.453	0.0356	0.0124	0.00136	0.11	0.13	0.15	0.41	0.45	0.51	0.01	0.01	0.01
38	0.129	0.0125	0.454	0.0355	0.0125	0.00128	0.11	0.13	0.15	0.41	0.45	0.51	0.01	0.01	0.01
39	0.129	0.0126	0.455	0.0351	0.0126	0.00132	0.11	0.13	0.15	0.41	0.45	0.51	0.01	0.01	0.01
40	0.129	0.0124	0.455	0.0344	0.0127	0.00129	0.11	0.13	0.15	0.41	0.45	0.51	0.01	0.01	0.02
41	0.128	0.0123	0.455	0.0357	0.0129	0.0013	0.11	0.13	0.15	0.41	0.46	0.51	0.01	0.01	0.02
42	0.128	0.0122	0.457	0.0364	0.0127	0.00126	0.11	0.13	0.15	0.41	0.46	0.51	0.01	0.01	0.01
43	0.125	0.0116	0.456	0.036	0.0129	0.00129	0.11	0.12	0.14	0.41	0.46	0.52	0.01	0.01	0.02
44	0.121	0.0114	0.454	0.0365	0.013	0.00137	0.11	0.12	0.14	0.41	0.45	0.51	0.01	0.01	0.02
45	0.118	0.011	0.453	0.0372	0.0132	0.00138	0.1	0.12	0.14	0.41	0.45	0.51	0.01	0.01	0.02
46	0.115	0.0111	0.453	0.0383	0.0136	0.00141	0.1	0.11	0.13	0.4	0.45	0.52	0.01	0.01	0.02
47	0.112	0.0105	0.451	0.0388	0.0137	0.00142	0.1	0.11	0.13	0.4	0.45	0.52	0.01	0.01	0.02
48	0.109	0.0106	0.451	0.0381	0.0139	0.00146	0.1	0.11	0.13	0.4	0.45	0.51	0.01	0.01	0.02
49	0.106	0.0103	0.45	0.038	0.0141	0.00149	0.09	0.11	0.12	0.4	0.45	0.51	0.01	0.01	0.02
50	0.104	0.0104	0.449	0.0388	0.0144	0.00152	0.09	0.1	0.12	0.4	0.45	0.51	0.01	0.01	0.02
51	0.102	0.0104	0.447	0.0392	0.0146	0.00163	0.09	0.1	0.12	0.4	0.45	0.51	0.01	0.01	0.02
52	0.1	0.0108	0.447	0.0408	0.0148	0.00166	0.09	0.1	0.12	0.39	0.45	0.51	0.01	0.01	0.02
53	0.0981	0.0109	0.446	0.0416	0.0149	0.00167	0.09	0.1	0.12	0.39	0.45	0.51	0.01	0.01	0.02
54	0.0948	0.0104	0.445	0.0414	0.0154	0.00164	0.08	0.09	0.11	0.39	0.45	0.51	0.01	0.02	0.02
55	0.0935	0.0104	0.444	0.0427	0.0154	0.0017	0.08	0.09	0.11	0.39	0.44	0.51	0.01	0.02	0.02
56	0.0912	0.0101	0.443	0.0427	0.0158	0.00175	0.08	0.09	0.11	0.39	0.44	0.51	0.01	0.02	0.02
57	0.0894	0.0101	0.443	0.0426	0.0161	0.00175	0.08	0.09	0.11	0.39	0.44	0.51	0.01	0.02	0.02
58	0.0876	0.0101	0.443	0.0425	0.0163	0.00181	0.08	0.09	0.1	0.39	0.44	0.51	0.01	0.02	0.02
59	0.0849	0.00977	0.441	0.0435	0.0166	0.00181	0.07	0.08	0.1	0.39	0.44	0.51	0.01	0.02	0.02
60	0.0832	0.00992	0.439	0.0438	0.017	0.00188	0.07	0.08	0.1	0.39	0.44	0.51	0.01	0.02	0.02
61	0.0816	0.00985	0.438	0.0449	0.0172	0.00195	0.07	0.08	0.1	0.38	0.44	0.51	0.01	0.02	0.02
62	0.0796	0.00977	0.436	0.0455	0.0176	0.00197	0.07	0.08	0.09	0.38	0.44	0.51	0.02	0.02	0.02
63	0.0782	0.00968	0.435	0.0461	0.0179	0.00206	0.07	0.08	0.09	0.37	0.44	0.51	0.02	0.02	0.02
64	0.0763	0.00981	0.434	0.0469	0.0185	0.0021	0.06	0.08	0.09	0.37	0.43	0.51	0.02	0.02	0.02
65	0.0748	0.00975	0.431	0.047	0.0186	0.00215	0.06	0.07	0.09	0.37	0.43	0.51	0.02	0.02	0.02
66	0.0737	0.00951	0.43	0.0472	0.0189	0.00216	0.06	0.07	0.09	0.37	0.43	0.51	0.02	0.02	0.02
67	0.0721	0.00933	0.428	0.0473	0.0193	0.00221	0.06	0.07	0.09	0.37	0.43	0.51	0.02	0.02	0.02
68	0.0706	0.00937	0.427	0.0478	0.0196	0.00229	0.06	0.07	0.09	0.37	0.43	0.51	0.02	0.02	0.02
69	0.0686	0.0093	0.425	0.0482	0.0199	0.00243	0.06	0.07	0.08	0.36	0.42	0.5	0.02	0.02	0.02
70	0.0677	0.00943	0.425	0.0489	0.0204	0.00245	0.06	0.07	0.08	0.36	0.42	0.5	0.02	0.02	0.03
71	0.0662	0.00925	0.422	0.0493	0.0208	0.0025	0.06	0.07	0.08	0.36	0.42	0.5	0.02	0.02	0.03
72	0.0653	0.00932	0.421	0.0502	0.0211	0.00253	0.05	0.06	0.08	0.36	0.42	0.5	0.02	0.02	0.03
73	0.0638	0.00925	0.42	0.0506	0.0217	0.00252	0.05	0.06	0.08	0.36	0.42	0.5	0.02	0.02	0.03
