Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.632	0.37	0.49	0.195	0.00394	0.00137	0.22	0.56	1.3	0.23	0.48	0.82	0.003	0.004	0.006
2	0.35	0.185	0.484	0.187	0.00553	0.00151	0.15	0.32	0.7	0.25	0.48	0.79	0.004	0.005	0.008
3	0.233	0.0988	0.473	0.159	0.00718	0.00165	0.12	0.22	0.41	0.27	0.47	0.74	0.005	0.007	0.01
4	0.195	0.0565	0.456	0.114	0.00818	0.00159	0.12	0.19	0.29	0.31	0.45	0.65	0.006	0.008	0.01
5	0.183	0.0364	0.441	0.0775	0.00863	0.00149	0.14	0.18	0.24	0.35	0.44	0.57	0.007	0.008	0.01
6	0.171	0.0294	0.43	0.0582	0.00911	0.00146	0.13	0.17	0.22	0.36	0.43	0.52	0.007	0.009	0.01
7	0.163	0.0282	0.422	0.0504	0.00938	0.00151	0.13	0.16	0.21	0.36	0.42	0.5	0.008	0.009	0.01
8	0.157	0.0282	0.413	0.0471	0.00971	0.00158	0.12	0.16	0.2	0.36	0.42	0.48	0.008	0.01	0.01
9	0.148	0.0296	0.404	0.0482	0.0101	0.00171	0.11	0.15	0.19	0.34	0.41	0.48	0.008	0.01	0.01
10	0.139	0.0319	0.392	0.0535	0.0107	0.00186	0.1	0.14	0.19	0.32	0.39	0.48	0.009	0.01	0.01
11	0.135	0.0311	0.386	0.0526	0.0111	0.00189	0.09	0.13	0.19	0.32	0.39	0.47	0.009	0.01	0.01
12	0.13	0.0313	0.377	0.0552	0.0115	0.00202	0.09	0.13	0.18	0.31	0.38	0.47	0.009	0.01	0.02
13	0.126	0.0315	0.366	0.0574	0.0118	0.00213	0.09	0.12	0.18	0.29	0.37	0.46	0.01	0.01	0.02
14	0.121	0.0311	0.361	0.0613	0.0125	0.00227	0.08	0.12	0.18	0.29	0.36	0.46	0.01	0.01	0.02
15	0.116	0.0307	0.352	0.0633	0.0131	0.00241	0.08	0.11	0.17	0.27	0.35	0.46	0.01	0.01	0.02
16	0.12	0.0289	0.349	0.0636	0.0132	0.00249	0.09	0.12	0.17	0.27	0.35	0.46	0.01	0.01	0.02
17	0.109	0.0287	0.34	0.0663	0.014	0.00272	0.08	0.11	0.16	0.26	0.34	0.45	0.01	0.01	0.02
18	0.108	0.0282	0.337	0.0671	0.0143	0.00273	0.07	0.11	0.16	0.25	0.34	0.45	0.01	0.01	0.02
19	0.107	0.0281	0.332	0.0697	0.0148	0.0029	0.07	0.1	0.16	0.25	0.33	0.45	0.01	0.01	0.02
20	0.102	0.0286	0.326	0.0707	0.0156	0.00313	0.07	0.1	0.15	0.24	0.32	0.45	0.01	0.01	0.02
21	0.0986	0.0273	0.32	0.0719	0.0162	0.00324	0.07	0.1	0.15	0.23	0.32	0.44	0.01	0.02	0.02
22	0.0952	0.0269	0.312	0.0733	0.0169	0.00364	0.06	0.09	0.14	0.22	0.31	0.44	0.01	0.02	0.02
23	0.0927	0.0268	0.309	0.074	0.0173	0.0036	0.06	0.09	0.14	0.22	0.31	0.43	0.01	0.02	0.02
24	0.088	0.0264	0.309	0.0744	0.018	0.00399	0.06	0.09	0.13	0.22	0.31	0.43	0.01	0.02	0.02
25	0.08	0.0256	0.3	0.0784	0.0188	0.00407	0.05	0.08	0.13	0.2	0.3	0.43	0.01	0.02	0.03
26	0.0762	0.0256	0.294	0.08	0.0199	0.00497	0.04	0.07	0.12	0.2	0.29	0.43	0.02	0.02	0.03
27	0.0753	0.0254	0.293	0.0814	0.0201	0.00475	0.04	0.07	0.12	0.19	0.29	0.42	0.02	0.02	0.03
28	0.0733	0.0258	0.286	0.0831	0.0211	0.00608	0.04	0.07	0.12	0.18	0.29	0.42	0.02	0.02	0.03
29	0.0695	0.0251	0.282	0.0851	0.022	0.00648	0.04	0.07	0.11	0.18	0.28	0.42	0.02	0.02	0.03
30	0.0735	0.024	0.287	0.0823	0.0215	0.00547	0.05	0.07	0.11	0.19	0.28	0.42	0.02	0.02	0.03
31	0.0708	0.0231	0.286	0.0837	0.0209	0.00481	0.05	0.07	0.11	0.18	0.28	0.42	0.02	0.02	0.03
32	0.0663	0.0233	0.283	0.0847	0.0223	0.00612	0.04	0.06	0.11	0.19	0.28	0.42	0.02	0.02	0.03
33	0.0607	0.0227	0.278	0.0872	0.0237	0.00708	0.04	0.06	0.1	0.18	0.27	0.42	0.02	0.02	0.03
34	0.0598	0.0229	0.275	0.0889	0.0247	0.00887	0.03	0.06	0.1	0.17	0.28	0.41	0.02	0.02	0.03
35	0.0564	0.0231	0.273	0.0913	0.0262	0.0112	0.03	0.05	0.09	0.17	0.27	0.42	0.02	0.02	0.04
37	0.0537	0.0221	0.273	0.0927	0.0269	0.0114	0.03	0.05	0.09	0.16	0.27	0.42	0.02	0.02	0.04
38	0.0528	0.0225	0.274	0.0945	0.0274	0.0129	0.03	0.05	0.09	0.16	0.27	0.43	0.02	0.02	0.04
39	0.0531	0.0228	0.277	0.0977	0.027	0.0127	0.03	0.05	0.09	0.16	0.28	0.44	0.02	0.02	0.04
40	0.0523	0.023	0.275	0.0993	0.0276	0.0131	0.03	0.05	0.09	0.16	0.27	0.44	0.02	0.02	0.04
41	0.0525	0.0234	0.277	0.101	0.0275	0.0136	0.03	0.05	0.09	0.16	0.27	0.44	0.02	0.02	0.04
42	0.0529	0.0232	0.279	0.0998	0.0268	0.0121	0.03	0.05	0.09	0.16	0.27	0.45	0.02	0.02	0.04
43	0.052	0.0233	0.282	0.0996	0.0274	0.0125	0.03	0.05	0.09	0.16	0.28	0.45	0.02	0.02	0.04
44	0.0497	0.0228	0.279	0.104	0.0269	0.0124	0.03	0.05	0.09	0.16	0.27	0.46	0.02	0.02	0.04
45	0.0491	0.0228	0.28	0.105	0.0276	0.012	0.02	0.05	0.09	0.16	0.27	0.47	0.02	0.02	0.05
46	0.0473	0.0219	0.28	0.103	0.0287	0.0136	0.02	0.05	0.09	0.16	0.28	0.45	0.02	0.03	0.05
