Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.619	0.402	0.49	0.212	0.00465	0.00207	0.19	0.54	1.4	0.2	0.48	0.83	0.003	0.004	0.008
2	0.42	0.266	0.487	0.209	0.00593	0.00239	0.14	0.37	0.91	0.21	0.48	0.82	0.004	0.005	0.01
3	0.286	0.178	0.483	0.206	0.00771	0.00307	0.1	0.25	0.62	0.2	0.48	0.82	0.005	0.007	0.01
4	0.212	0.12	0.48	0.193	0.00929	0.00328	0.08	0.19	0.44	0.22	0.47	0.8	0.006	0.009	0.01
5	0.169	0.081	0.476	0.171	0.0102	0.00304	0.08	0.16	0.31	0.26	0.47	0.76	0.007	0.01	0.02
6	0.146	0.0562	0.47	0.144	0.0109	0.00277	0.08	0.14	0.24	0.28	0.47	0.71	0.008	0.01	0.02
7	0.133	0.0403	0.465	0.119	0.0112	0.00243	0.08	0.13	0.2	0.31	0.46	0.67	0.009	0.01	0.02
8	0.125	0.03	0.462	0.0976	0.0114	0.00214	0.09	0.12	0.17	0.34	0.46	0.62	0.009	0.01	0.02
9	0.12	0.0237	0.457	0.0817	0.0115	0.00192	0.09	0.12	0.16	0.35	0.45	0.59	0.009	0.01	0.01
10	0.117	0.0197	0.454	0.0698	0.0117	0.00178	0.09	0.12	0.15	0.37	0.45	0.57	0.01	0.01	0.01
11	0.115	0.0175	0.45	0.0633	0.0117	0.00172	0.09	0.11	0.14	0.37	0.45	0.55	0.01	0.01	0.01
12	0.113	0.0158	0.449	0.0568	0.0119	0.00165	0.09	0.11	0.14	0.38	0.45	0.55	0.01	0.01	0.01
13	0.111	0.0146	0.448	0.0523	0.0121	0.00162	0.09	0.11	0.14	0.38	0.45	0.53	0.01	0.01	0.02
14	0.109	0.0138	0.446	0.0513	0.0122	0.00168	0.09	0.11	0.13	0.38	0.45	0.53	0.01	0.01	0.02
