%Iter	duration	train_objective	valid_objective	difference
0	134.0	-7.94588	-7.94585	3e-05
1	116.0	-2.6519	-2.60521	0.04669
2	117.0	-2.3883	-2.32138	0.06692
3	116.0	-2.33066	-2.26971	0.06095
4	116.0	-2.3064	-2.23886	0.06754
5	117.0	-2.24768	-2.16605	0.08163
6	116.0	-2.16525	-2.12248	0.04277
7	117.0	-2.13061	-2.0901	0.04051
8	117.0	-2.16206	-2.09389	0.06817
9	118.0	-2.14433	-2.0728	0.07153
10	118.0	-2.09038	-2.05731	0.03307
11	117.0	-2.072	-2.00525	0.06675
12	116.0	-2.05005	-1.99534	0.05471
13	116.0	-2.04096	-2.00381	0.03715
14	116.0	-2.00441	-1.97071	0.0337
15	116.0	-1.99213	-1.96787	0.02426
16	116.0	-1.97773	-1.93123	0.0465
17	120.0	-1.98858	-1.9415	0.04708
18	121.0	-1.93076	-1.89209	0.03867
19	121.0	-1.96469	-1.95129	0.0134
20	133.0	-1.94289	-1.89949	0.0434
21	119.0	-1.94884	-1.89924	0.0496
22	120.0	-1.89655	-1.87474	0.02181
23	119.0	-1.8743	-1.85065	0.02365
24	119.0	-1.91724	-1.8495	0.06774
25	120.0	-1.86956	-1.8214	0.04816
26	121.0	-1.89995	-1.86062	0.03933
27	122.0	-1.8391	-1.80021	0.03889
28	121.0	-1.82667	-1.79765	0.02902
29	121.0	-1.80195	-1.77179	0.03016
30	119.0	-1.85237	-1.8035	0.04887
31	119.0	-1.81458	-1.81018	0.0044
32	120.0	-1.84807	-1.78267	0.0654
33	119.0	-1.82349	-1.80669	0.0168
34	120.0	-1.80275	-1.76383	0.03892
35	120.0	-1.79953	-1.77774	0.02179
36	121.0	-1.76244	-1.74095	0.02149
37	121.0	-1.78115	-1.74969	0.03146
38	120.0	-1.79796	-1.75506	0.0429
39	119.0	-1.80512	-1.76715	0.03797
40	133.0	-1.79615	-1.75926	0.03689
41	120.0	-1.79623	-1.75558	0.04065
42	119.0	-1.7982	-1.76221	0.03599
43	120.0	-1.75989	-1.73337	0.02652
44	121.0	-1.7687	-1.7438	0.0249
45	121.0	-1.75901	-1.72046	0.03855
46	120.0	-1.73674	-1.69781	0.03893
47	121.0	-1.74281	-1.69948	0.04333
48	119.0	-1.72997	-1.72541	0.00456
49	119.0	-1.71698	-1.70395	0.01303
50	121.0	-1.7291	-1.69081	0.03829
51	119.0	-1.7246	-1.68549	0.03911
52	119.0	-1.67907	-1.64873	0.03034
53	120.0	-1.68381	-1.64901	0.0348
54	121.0	-1.68542	-1.66632	0.0191
55	121.0	-1.67616	-1.64809	0.02807
56	120.0	-1.67193	-1.67584	-0.00391
57	119.0	-1.65994	-1.64602	0.01392
58	119.0	-1.63707	-1.65047	-0.0134
59	119.0	-1.64907	-1.64037	0.0087
60	133.0	-1.63495	-1.60611	0.02884
61	120.0	-1.63312	-1.60696	0.02616
62	120.0	-1.63625	-1.60528	0.03097
63	121.0	-1.60301	-1.61402	-0.01101
64	121.0	-1.59911	-1.60907	-0.00996
65	120.0	-1.60213	-1.59445	0.00768
66	120.0	-1.59303	-1.6019	-0.00887
67	119.0	-1.58475	-1.58742	-0.00267
68	119.0	-1.5846	-1.59705	-0.01245
69	119.0	-1.57947	-1.57147	0.008
70	122.0	-1.5471	-1.56649	-0.01939
71	121.0	-1.55088	-1.57585	-0.02497
72	121.0	-1.54859	-1.57957	-0.03098
73	120.0	-1.53877	-1.54685	-0.00808
74	120.0	-1.50584	-1.53071	-0.02487
75	120.0	-1.52426	-1.55049	-0.02623
76	120.0	-1.52506	-1.55572	-0.03066
77	120.0	-1.5077	-1.51356	-0.00586
78	119.0	-1.48839	-1.53528	-0.04689
79	120.0	-1.51688	-1.52431	-0.00743
80	134.0	-1.50305	-1.53788	-0.03483
Total training time is 2:42:14
