Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.319	0.468	0.488	0.47	0.0915	0.0375	0.0	0.04	1.3	0.0	0.42	1.0	0.04	0.1	0.14
2	0.21	0.308	0.488	0.464	0.0819	0.0286	0.0	0.04	0.88	0.0	0.47	1.0	0.05	0.08	0.13
3	0.138	0.203	0.483	0.457	0.0821	0.0326	0.0	0.04	0.58	0.0	0.48	1.0	0.05	0.07	0.15
4	0.0922	0.132	0.475	0.446	0.0832	0.0369	0.0	0.04	0.37	0.0	0.47	1.0	0.05	0.07	0.16
5	0.0631	0.0859	0.465	0.43	0.0822	0.0398	0.0	0.04	0.25	0.0	0.45	1.0	0.05	0.07	0.17
6	0.0452	0.0556	0.455	0.412	0.0842	0.0421	0.0	0.03	0.16	0.0	0.46	1.0	0.05	0.07	0.17
7	0.0352	0.0383	0.446	0.388	0.086	0.0431	0.0	0.03	0.1	0.0	0.46	0.99	0.04	0.07	0.17
8	0.0295	0.0288	0.443	0.364	0.088	0.0446	5e-07	0.03	0.08	0.0003	0.46	0.95	0.04	0.07	0.18
9	0.0265	0.0245	0.442	0.338	0.088	0.0443	0.0002	0.03	0.06	0.04	0.46	0.92	0.04	0.08	0.17
10	0.0249	0.0224	0.443	0.318	0.0907	0.0455	0.0003	0.03	0.06	0.06	0.45	0.91	0.04	0.08	0.18
11	0.024	0.0211	0.441	0.308	0.0925	0.0457	0.0005	0.03	0.06	0.07	0.45	0.9	0.04	0.08	0.18
12	0.0234	0.0201	0.442	0.298	0.0946	0.0459	0.0006	0.03	0.05	0.08	0.46	0.9	0.05	0.08	0.18
13	0.0228	0.0195	0.439	0.295	0.0946	0.0458	0.0005	0.02	0.05	0.07	0.48	0.9	0.05	0.08	0.18
14	0.0224	0.0188	0.439	0.288	0.0958	0.0452	0.0008	0.02	0.05	0.08	0.47	0.9	0.05	0.08	0.18
15	0.0219	0.0181	0.439	0.283	0.0973	0.0455	0.0008	0.02	0.05	0.08	0.46	0.9	0.05	0.09	0.18
16	0.0216	0.0178	0.437	0.281	0.102	0.0468	0.0009	0.02	0.05	0.09	0.46	0.9	0.05	0.09	0.19
17	0.0212	0.0176	0.434	0.281	0.102	0.0461	0.0009	0.02	0.05	0.09	0.46	0.91	0.05	0.09	0.19
18	0.0209	0.0172	0.433	0.28	0.101	0.0454	0.001	0.02	0.05	0.09	0.45	0.9	0.05	0.09	0.19
19	0.0206	0.0168	0.432	0.275	0.103	0.046	0.0009	0.02	0.05	0.09	0.44	0.89	0.05	0.09	0.19
20	0.0205	0.0166	0.434	0.274	0.103	0.0457	0.001	0.02	0.05	0.09	0.45	0.91	0.05	0.09	0.19
21	0.0201	0.0165	0.431	0.275	0.105	0.0462	0.0009	0.02	0.05	0.09	0.43	0.9	0.05	0.1	0.19
22	0.0198	0.0162	0.429	0.272	0.105	0.0463	0.001	0.02	0.05	0.09	0.44	0.91	0.05	0.1	0.19
23	0.0196	0.0159	0.431	0.268	0.108	0.0464	0.001	0.02	0.05	0.1	0.43	0.9	0.06	0.1	0.19
24	0.0193	0.0155	0.432	0.266	0.108	0.0462	0.001	0.02	0.04	0.1	0.43	0.89	0.06	0.1	0.2
25	0.019	0.0153	0.431	0.265	0.109	0.0457	0.001	0.02	0.04	0.1	0.42	0.9	0.06	0.1	0.19
26	0.0187	0.0151	0.431	0.264	0.113	0.0465	0.001	0.02	0.04	0.1	0.42	0.9	0.06	0.1	0.2
27	0.0184	0.0148	0.431	0.259	0.114	0.0459	0.002	0.02	0.04	0.11	0.42	0.89	0.06	0.11	0.2
28	0.0182	0.0145	0.432	0.257	0.116	0.0451	0.002	0.02	0.04	0.11	0.42	0.89	0.07	0.11	0.2
29	0.018	0.0143	0.433	0.256	0.118	0.0448	0.002	0.02	0.04	0.11	0.42	0.89	0.07	0.11	0.2
30	0.0178	0.0139	0.435	0.256	0.119	0.0439	0.002	0.02	0.04	0.12	0.41	0.89	0.07	0.11	0.2
31	0.0176	0.0137	0.436	0.254	0.121	0.0441	0.002	0.02	0.04	0.12	0.41	0.89	0.07	0.12	0.2
32	0.0174	0.0135	0.437	0.251	0.123	0.0437	0.002	0.02	0.04	0.13	0.41	0.89	0.07	0.12	0.2
33	0.017	0.0132	0.437	0.248	0.126	0.0438	0.002	0.01	0.04	0.14	0.4	0.89	0.08	0.12	0.2
34	0.0166	0.0129	0.433	0.246	0.128	0.0426	0.002	0.01	0.04	0.14	0.39	0.88	0.08	0.12	0.2
35	0.0165	0.0127	0.434	0.245	0.13	0.0426	0.003	0.01	0.04	0.14	0.39	0.88	0.08	0.12	0.21
36	0.0162	0.0123	0.436	0.243	0.13	0.0409	0.003	0.01	0.04	0.14	0.4	0.89	0.08	0.13	0.2
37	0.0159	0.0119	0.437	0.239	0.133	0.0408	0.003	0.01	0.04	0.15	0.41	0.88	0.09	0.13	0.2
38	0.0157	0.0115	0.44	0.236	0.136	0.0404	0.003	0.01	0.04	0.15	0.41	0.87	0.09	0.13	0.21
39	0.0156	0.0111	0.442	0.232	0.137	0.0393	0.003	0.01	0.04	0.16	0.41	0.88	0.09	0.13	0.21
40	0.0153	0.0109	0.443	0.232	0.139	0.0392	0.003	0.01	0.04	0.16	0.4	0.87	0.1	0.13	0.21
41	0.015	0.0106	0.441	0.231	0.142	0.0381	0.003	0.01	0.03	0.16	0.41	0.87	0.1	0.14	0.21
42	0.0148	0.0105	0.441	0.231	0.142	0.0374	0.004	0.01	0.03	0.16	0.4	0.86	0.1	0.14	0.21
43	0.0145	0.0103	0.439	0.23	0.142	0.0371	0.004	0.01	0.03	0.17	0.4	0.86	0.1	0.14	0.21
44	0.0144	0.0101	0.438	0.229	0.143	0.0367	0.004	0.01	0.03	0.17	0.4	0.86	0.1	0.14	0.21
45	0.0142	0.0099	0.438	0.228	0.143	0.0365	0.004	0.01	0.03	0.17	0.41	0.87	0.1	0.14	0.21
46	0.014	0.00974	0.437	0.227	0.143	0.037	0.004	0.01	0.03	0.17	0.4	0.86	0.1	0.14	0.21
47	0.0139	0.00957	0.439	0.227	0.142	0.0364	0.003	0.01	0.03	0.16	0.42	0.87	0.1	0.14	0.21
48	0.0137	0.00936	0.439	0.226	0.144	0.037	0.003	0.01	0.03	0.17	0.41	0.87	0.1	0.14	0.21
49	0.0136	0.00926	0.439	0.226	0.143	0.037	0.003	0.01	0.03	0.17	0.41	0.86	0.11	0.14	0.21
50	0.0135	0.00927	0.438	0.226	0.145	0.037	0.003	0.01	0.03	0.17	0.4	0.87	0.11	0.14	0.21
51	0.0132	0.00911	0.436	0.225	0.146	0.0375	0.003	0.01	0.03	0.17	0.41	0.87	0.11	0.14	0.21
52	0.0131	0.00905	0.436	0.226	0.145	0.0379	0.003	0.01	0.03	0.17	0.4	0.86	0.11	0.14	0.21
53	0.0131	0.00912	0.436	0.228	0.147	0.0385	0.003	0.01	0.03	0.16	0.41	0.86	0.11	0.14	0.22
54	0.013	0.00914	0.435	0.228	0.146	0.0384	0.003	0.01	0.03	0.16	0.4	0.88	0.11	0.14	0.22
55	0.0128	0.00899	0.435	0.227	0.148	0.0392	0.003	0.01	0.03	0.16	0.4	0.87	0.11	0.14	0.22
56	0.0126	0.00886	0.434	0.229	0.149	0.0397	0.003	0.01	0.03	0.16	0.4	0.87	0.11	0.14	0.22
57	0.0126	0.00877	0.437	0.229	0.147	0.0393	0.003	0.01	0.03	0.16	0.41	0.86	0.11	0.14	0.22
