Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.696	0.465	0.496	0.219	0.003	0.00212	0.19	0.6	1.6	0.2	0.5	0.85	0.002	0.002	0.006
2	0.651	0.4	0.496	0.206	0.00261	0.00145	0.21	0.57	1.4	0.22	0.5	0.82	0.002	0.002	0.004
3	0.584	0.352	0.495	0.202	0.00265	0.00127	0.19	0.52	1.3	0.22	0.5	0.82	0.002	0.002	0.004
4	0.521	0.311	0.494	0.201	0.00259	0.00115	0.17	0.46	1.1	0.22	0.49	0.82	0.002	0.002	0.004
5	0.483	0.276	0.493	0.194	0.0027	0.00114	0.18	0.43	1.0	0.23	0.49	0.81	0.002	0.002	0.004
6	0.45	0.248	0.491	0.189	0.00257	0.00103	0.17	0.41	0.92	0.24	0.49	0.8	0.002	0.002	0.004
7	0.432	0.222	0.49	0.179	0.00262	0.001	0.18	0.4	0.84	0.25	0.49	0.78	0.002	0.002	0.004
8	0.414	0.202	0.489	0.173	0.00248	0.000927	0.18	0.39	0.79	0.26	0.49	0.77	0.002	0.002	0.004
9	0.392	0.186	0.488	0.168	0.00248	0.000885	0.17	0.37	0.74	0.27	0.49	0.77	0.002	0.002	0.004
10	0.382	0.171	0.487	0.161	0.00266	0.000948	0.18	0.36	0.7	0.28	0.49	0.76	0.002	0.002	0.004
11	0.374	0.161	0.486	0.155	0.00256	0.000861	0.18	0.36	0.67	0.28	0.49	0.75	0.002	0.002	0.004
12	0.371	0.15	0.487	0.147	0.00271	0.000878	0.19	0.36	0.64	0.29	0.49	0.73	0.002	0.003	0.004
13	0.37	0.143	0.486	0.141	0.00265	0.000818	0.19	0.36	0.62	0.3	0.49	0.72	0.002	0.002	0.004
14	0.372	0.136	0.487	0.134	0.00282	0.000851	0.2	0.37	0.61	0.31	0.49	0.71	0.002	0.003	0.004
15	0.377	0.131	0.487	0.128	0.00283	0.000838	0.21	0.37	0.6	0.32	0.49	0.7	0.002	0.003	0.004
16	0.365	0.128	0.486	0.128	0.00245	0.000703	0.2	0.36	0.59	0.32	0.49	0.7	0.002	0.002	0.004
17	0.349	0.125	0.486	0.129	0.00244	0.000739	0.19	0.35	0.57	0.31	0.49	0.7	0.002	0.002	0.004
18	0.335	0.122	0.485	0.13	0.00232	0.000702	0.18	0.33	0.55	0.31	0.49	0.7	0.002	0.002	0.004
19	0.322	0.12	0.485	0.132	0.00236	0.000742	0.17	0.32	0.53	0.31	0.49	0.7	0.002	0.002	0.004
20	0.31	0.118	0.484	0.134	0.00231	0.000744	0.16	0.31	0.51	0.31	0.49	0.7	0.002	0.002	0.004
