Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.78	0.458	0.49	0.193	0.00351	0.00151	0.27	0.71	1.6	0.24	0.49	0.8	0.002	0.003	0.006
2	0.731	0.399	0.489	0.18	0.00324	0.00116	0.28	0.67	1.5	0.25	0.49	0.77	0.002	0.003	0.006
3	0.654	0.351	0.487	0.178	0.00334	0.0012	0.27	0.6	1.3	0.25	0.48	0.77	0.002	0.003	0.006
4	0.582	0.312	0.484	0.178	0.00339	0.00126	0.24	0.53	1.2	0.25	0.48	0.77	0.002	0.003	0.006
5	0.533	0.278	0.483	0.174	0.00362	0.00132	0.23	0.49	1.1	0.26	0.48	0.76	0.002	0.003	0.006
6	0.491	0.25	0.48	0.171	0.00362	0.0013	0.21	0.45	0.95	0.26	0.48	0.75	0.002	0.003	0.006
7	0.464	0.227	0.479	0.165	0.00378	0.00131	0.21	0.43	0.87	0.27	0.48	0.74	0.002	0.003	0.006
8	0.44	0.209	0.477	0.16	0.00372	0.00128	0.2	0.41	0.82	0.27	0.48	0.73	0.002	0.003	0.006
9	0.413	0.193	0.475	0.157	0.00383	0.00128	0.19	0.38	0.76	0.27	0.48	0.73	0.003	0.004	0.006
10	0.396	0.178	0.475	0.152	0.00413	0.00133	0.19	0.37	0.72	0.28	0.48	0.72	0.003	0.004	0.007
11	0.385	0.167	0.473	0.147	0.00409	0.00127	0.19	0.36	0.69	0.28	0.48	0.71	0.003	0.004	0.006
12	0.378	0.157	0.474	0.141	0.00435	0.0013	0.2	0.36	0.66	0.29	0.48	0.7	0.003	0.004	0.007
13	0.374	0.15	0.474	0.135	0.00434	0.00126	0.2	0.36	0.64	0.3	0.48	0.69	0.003	0.004	0.007
14	0.374	0.143	0.476	0.129	0.00459	0.00129	0.2	0.36	0.63	0.3	0.48	0.68	0.003	0.004	0.007
15	0.377	0.139	0.477	0.124	0.00459	0.00125	0.21	0.36	0.62	0.31	0.48	0.67	0.003	0.004	0.007
16	0.369	0.135	0.476	0.122	0.00403	0.00112	0.21	0.36	0.6	0.31	0.48	0.67	0.003	0.004	0.006
17	0.353	0.131	0.477	0.124	0.00402	0.00114	0.2	0.34	0.58	0.31	0.48	0.67	0.003	0.004	0.006
18	0.34	0.128	0.476	0.125	0.00386	0.00112	0.19	0.33	0.56	0.31	0.48	0.67	0.003	0.004	0.006
19	0.326	0.125	0.476	0.126	0.00395	0.00118	0.18	0.32	0.54	0.3	0.48	0.67	0.003	0.004	0.006
20	0.315	0.123	0.475	0.127	0.00394	0.0012	0.17	0.31	0.52	0.3	0.48	0.67	0.003	0.004	0.006
