Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.811	0.492	0.485	0.201	0.00339	0.00151	0.26	0.73	1.8	0.22	0.48	0.81	0.002	0.003	0.006
2	0.759	0.424	0.485	0.187	0.00311	0.00111	0.28	0.68	1.6	0.24	0.49	0.79	0.002	0.003	0.005
3	0.683	0.371	0.484	0.183	0.00315	0.00111	0.26	0.63	1.4	0.24	0.49	0.79	0.002	0.003	0.005
4	0.616	0.328	0.483	0.18	0.00311	0.00108	0.24	0.57	1.2	0.25	0.48	0.78	0.002	0.003	0.005
5	0.575	0.292	0.481	0.174	0.00318	0.00104	0.25	0.54	1.1	0.25	0.48	0.77	0.002	0.003	0.005
6	0.537	0.263	0.479	0.168	0.00309	0.000986	0.24	0.5	1.0	0.26	0.48	0.76	0.002	0.003	0.005
7	0.517	0.238	0.477	0.159	0.00313	0.00095	0.24	0.49	0.96	0.26	0.47	0.74	0.002	0.003	0.005
8	0.496	0.218	0.474	0.152	0.00303	0.000892	0.24	0.47	0.9	0.27	0.47	0.73	0.002	0.003	0.005
9	0.47	0.202	0.472	0.149	0.00308	0.000893	0.23	0.45	0.84	0.28	0.47	0.72	0.002	0.003	0.005
10	0.46	0.189	0.471	0.142	0.00321	0.000881	0.23	0.44	0.8	0.28	0.47	0.7	0.002	0.003	0.005
11	0.452	0.178	0.47	0.136	0.00313	0.000819	0.23	0.44	0.77	0.29	0.47	0.69	0.002	0.003	0.005
12	0.45	0.168	0.469	0.129	0.00321	0.000805	0.24	0.44	0.75	0.3	0.47	0.68	0.002	0.003	0.005
13	0.449	0.161	0.469	0.123	0.00314	0.000764	0.25	0.44	0.73	0.31	0.47	0.67	0.002	0.003	0.004
14	0.452	0.154	0.47	0.117	0.00323	0.000743	0.26	0.45	0.72	0.32	0.47	0.66	0.003	0.003	0.005
15	0.457	0.15	0.471	0.111	0.00317	0.000706	0.27	0.45	0.71	0.32	0.47	0.66	0.002	0.003	0.004
16	0.444	0.146	0.469	0.111	0.00288	0.000656	0.26	0.44	0.69	0.32	0.47	0.66	0.002	0.003	0.004
17	0.428	0.142	0.469	0.111	0.00286	0.000672	0.24	0.42	0.67	0.32	0.47	0.65	0.002	0.003	0.004
18	0.412	0.14	0.467	0.112	0.0028	0.000684	0.23	0.41	0.65	0.32	0.47	0.65	0.002	0.003	0.004
19	0.397	0.137	0.466	0.113	0.00287	0.000727	0.22	0.39	0.63	0.32	0.47	0.65	0.002	0.003	0.004
20	0.383	0.135	0.464	0.115	0.0029	0.000764	0.21	0.38	0.61	0.31	0.47	0.65	0.002	0.003	0.004
