Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.83	0.486	0.49	0.19	0.00316	0.00125	0.29	0.72	1.7	0.24	0.49	0.81	0.002	0.003	0.005
2	0.784	0.417	0.49	0.174	0.0028	0.000822	0.31	0.71	1.5	0.26	0.48	0.78	0.002	0.003	0.004
3	0.723	0.364	0.488	0.167	0.00276	0.000732	0.31	0.66	1.4	0.27	0.48	0.77	0.002	0.003	0.004
4	0.664	0.322	0.487	0.162	0.00266	0.000668	0.3	0.61	1.3	0.27	0.48	0.76	0.002	0.003	0.004
5	0.629	0.287	0.484	0.154	0.00272	0.000633	0.3	0.58	1.2	0.28	0.48	0.74	0.002	0.003	0.004
6	0.595	0.258	0.481	0.147	0.00262	0.000582	0.29	0.56	1.1	0.29	0.48	0.73	0.002	0.003	0.004
7	0.578	0.235	0.478	0.138	0.00267	0.000569	0.3	0.55	1.0	0.29	0.47	0.7	0.002	0.003	0.004
8	0.559	0.216	0.476	0.132	0.00258	0.000529	0.3	0.53	0.95	0.3	0.47	0.69	0.002	0.003	0.004
9	0.533	0.2	0.474	0.127	0.00262	0.000525	0.29	0.51	0.89	0.31	0.47	0.68	0.002	0.003	0.004
10	0.524	0.187	0.473	0.121	0.00274	0.000528	0.3	0.5	0.86	0.32	0.47	0.67	0.002	0.003	0.004
11	0.517	0.176	0.472	0.115	0.00269	0.000498	0.3	0.5	0.83	0.32	0.47	0.66	0.002	0.003	0.004
12	0.517	0.167	0.472	0.108	0.00277	0.000495	0.31	0.5	0.81	0.33	0.47	0.65	0.002	0.003	0.004
13	0.517	0.16	0.473	0.103	0.00272	0.000467	0.31	0.51	0.8	0.34	0.47	0.64	0.002	0.003	0.004
14	0.522	0.153	0.474	0.0975	0.00279	0.000456	0.33	0.51	0.79	0.35	0.47	0.63	0.002	0.003	0.004
15	0.528	0.148	0.474	0.0929	0.00276	0.000431	0.34	0.52	0.78	0.35	0.47	0.62	0.002	0.003	0.004
16	0.513	0.144	0.473	0.0927	0.00254	0.000402	0.33	0.51	0.76	0.35	0.47	0.62	0.002	0.002	0.003
17	0.494	0.14	0.472	0.0928	0.00251	0.000409	0.32	0.49	0.73	0.35	0.47	0.62	0.002	0.002	0.003
18	0.476	0.137	0.471	0.0933	0.00249	0.000421	0.3	0.47	0.71	0.35	0.47	0.62	0.002	0.002	0.003
19	0.459	0.134	0.471	0.0939	0.00253	0.000446	0.29	0.45	0.69	0.35	0.47	0.62	0.002	0.002	0.003
20	0.442	0.132	0.47	0.0949	0.00256	0.000473	0.27	0.44	0.67	0.35	0.47	0.62	0.002	0.002	0.004
