Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.817	0.503	0.498	0.202	0.00338	0.00135	0.27	0.71	1.8	0.22	0.49	0.83	0.002	0.003	0.006
2	0.766	0.438	0.496	0.189	0.00315	0.0011	0.28	0.68	1.6	0.24	0.49	0.8	0.002	0.003	0.005
3	0.681	0.385	0.494	0.186	0.00327	0.00115	0.25	0.6	1.4	0.24	0.49	0.79	0.002	0.003	0.005
4	0.606	0.343	0.492	0.186	0.00334	0.0012	0.23	0.53	1.3	0.24	0.49	0.79	0.002	0.003	0.005
5	0.555	0.305	0.49	0.182	0.00356	0.00128	0.22	0.49	1.2	0.24	0.49	0.78	0.002	0.003	0.006
6	0.51	0.276	0.487	0.178	0.00357	0.00129	0.2	0.46	1.0	0.24	0.48	0.78	0.002	0.003	0.006
7	0.48	0.249	0.485	0.172	0.00376	0.00133	0.2	0.43	0.96	0.25	0.48	0.77	0.002	0.003	0.006
8	0.454	0.228	0.483	0.166	0.0037	0.00128	0.19	0.41	0.89	0.26	0.48	0.76	0.002	0.003	0.006
9	0.424	0.21	0.482	0.164	0.00383	0.00129	0.18	0.39	0.83	0.26	0.48	0.75	0.002	0.004	0.006
10	0.409	0.194	0.481	0.157	0.00407	0.00133	0.18	0.38	0.78	0.27	0.48	0.74	0.003	0.004	0.006
11	0.396	0.182	0.48	0.152	0.00405	0.00128	0.18	0.37	0.74	0.27	0.48	0.73	0.003	0.004	0.006
12	0.39	0.171	0.48	0.146	0.00426	0.0013	0.19	0.36	0.71	0.28	0.48	0.72	0.003	0.004	0.007
13	0.385	0.162	0.48	0.14	0.00425	0.00125	0.19	0.36	0.69	0.29	0.48	0.71	0.003	0.004	0.007
14	0.385	0.154	0.481	0.134	0.00446	0.00127	0.2	0.37	0.67	0.3	0.48	0.7	0.003	0.004	0.007
15	0.388	0.148	0.482	0.128	0.00443	0.00123	0.21	0.38	0.66	0.31	0.48	0.69	0.003	0.004	0.007
16	0.377	0.144	0.481	0.128	0.00394	0.00111	0.2	0.36	0.63	0.31	0.48	0.69	0.003	0.004	0.006
17	0.36	0.14	0.481	0.129	0.00394	0.00114	0.19	0.35	0.61	0.3	0.48	0.69	0.003	0.004	0.006
18	0.346	0.137	0.48	0.13	0.00384	0.00114	0.18	0.33	0.59	0.3	0.48	0.69	0.003	0.004	0.006
19	0.331	0.134	0.479	0.132	0.00392	0.0012	0.17	0.32	0.57	0.3	0.48	0.69	0.003	0.004	0.006
20	0.319	0.131	0.478	0.134	0.00394	0.00123	0.16	0.31	0.55	0.29	0.48	0.69	0.003	0.004	0.006
