Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.563	0.492	0.499	0.272	0.00671	0.00761	0.08	0.44	1.5	0.13	0.5	0.93	0.003	0.004	0.02
2	0.541	0.417	0.499	0.245	0.00454	0.00373	0.11	0.44	1.3	0.17	0.5	0.9	0.002	0.004	0.009
3	0.499	0.36	0.499	0.235	0.00433	0.00305	0.12	0.42	1.2	0.19	0.5	0.89	0.002	0.004	0.008
4	0.457	0.313	0.498	0.227	0.00399	0.00241	0.12	0.39	1.1	0.2	0.5	0.88	0.002	0.003	0.008
5	0.434	0.275	0.498	0.216	0.004	0.00204	0.14	0.38	0.97	0.22	0.49	0.86	0.002	0.004	0.007
6	0.412	0.243	0.497	0.206	0.0037	0.00166	0.14	0.37	0.89	0.23	0.49	0.85	0.002	0.003	0.007
7	0.401	0.216	0.498	0.195	0.0037	0.00149	0.16	0.36	0.83	0.25	0.49	0.83	0.002	0.003	0.006
8	0.39	0.194	0.497	0.186	0.00347	0.00134	0.17	0.36	0.76	0.26	0.49	0.82	0.002	0.003	0.006
9	0.374	0.177	0.497	0.181	0.00338	0.00123	0.17	0.35	0.7	0.26	0.49	0.82	0.002	0.003	0.006
10	0.367	0.163	0.497	0.174	0.0036	0.0013	0.17	0.35	0.67	0.28	0.49	0.8	0.002	0.003	0.006
11	0.363	0.152	0.496	0.166	0.00342	0.00118	0.18	0.35	0.64	0.29	0.49	0.8	0.002	0.003	0.006
12	0.363	0.142	0.496	0.158	0.00357	0.00119	0.18	0.35	0.62	0.3	0.49	0.78	0.002	0.003	0.006
13	0.363	0.135	0.495	0.151	0.00348	0.00112	0.19	0.36	0.6	0.31	0.49	0.77	0.002	0.003	0.006
14	0.366	0.129	0.495	0.145	0.00369	0.00116	0.2	0.36	0.59	0.32	0.49	0.75	0.003	0.003	0.006
15	0.368	0.125	0.494	0.14	0.00371	0.00117	0.2	0.37	0.58	0.32	0.49	0.74	0.003	0.003	0.006
16	0.353	0.122	0.493	0.141	0.00328	0.00102	0.19	0.35	0.56	0.32	0.49	0.74	0.002	0.003	0.005
17	0.338	0.118	0.492	0.142	0.00329	0.00109	0.18	0.34	0.54	0.32	0.49	0.75	0.002	0.003	0.005
18	0.323	0.116	0.492	0.144	0.00314	0.00105	0.17	0.32	0.52	0.32	0.49	0.75	0.002	0.003	0.005
19	0.311	0.113	0.491	0.146	0.00319	0.00108	0.16	0.31	0.5	0.31	0.49	0.76	0.002	0.003	0.005
20	0.299	0.111	0.491	0.148	0.00313	0.00108	0.16	0.3	0.49	0.31	0.49	0.76	0.002	0.003	0.005
