%Iter	duration	train_objective	valid_objective	difference
0	1316.0	-8.24275	-8.24274	1e-05
1	1008.0	-2.65412	-2.76003	-0.10591
2	1356.0	-1.96372	-2.11651	-0.15279
3	1355.0	-1.70977	-1.87789	-0.16812
4	1695.0	-1.54085	-1.72663	-0.18578
5	1694.0	-1.46578	-1.64596	-0.18018
6	2039.0	-1.36155	-1.54847	-0.18692
7	2031.0	-1.30785	-1.49947	-0.19162
8	2071.0	-1.24332	-1.44597	-0.20265
9	2413.0	-1.18941	-1.3914	-0.20199
10	2418.0	-1.15801	-1.37311	-0.2151
11	2757.0	-1.12064	-1.33804	-0.2174
12	2756.0	-1.12398	-1.34326	-0.21928
13	3107.0	-1.09447	-1.32446	-0.22999
14	3103.0	-1.10713	-1.33151	-0.22438
15	3097.0	-1.10077	-1.32984	-0.22907
16	3457.0	-1.05264	-1.28792	-0.23528
17	3457.0	-1.01997	-1.25961	-0.23964
18	3802.0	-0.982332	-1.22233	-0.239998
19	3791.0	-0.955578	-1.2046	-0.249022
20	4136.0	-0.919344	-1.17763	-0.258286
Total training time is 14:40:59
