Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.662	0.422	0.491	0.208	0.00381	0.00251	0.21	0.56	1.5	0.21	0.48	0.83	0.002	0.003	0.006
2	0.444	0.276	0.491	0.207	0.00513	0.00258	0.15	0.38	0.98	0.22	0.48	0.84	0.003	0.005	0.008
3	0.305	0.184	0.488	0.204	0.00663	0.00261	0.11	0.26	0.66	0.22	0.48	0.83	0.004	0.006	0.01
4	0.229	0.123	0.484	0.189	0.00793	0.0026	0.09	0.21	0.46	0.24	0.47	0.8	0.006	0.008	0.01
5	0.186	0.0826	0.475	0.163	0.00896	0.00267	0.09	0.17	0.34	0.27	0.47	0.75	0.007	0.009	0.01
6	0.164	0.0569	0.466	0.132	0.00967	0.00257	0.09	0.16	0.26	0.3	0.46	0.69	0.008	0.009	0.01
7	0.154	0.0421	0.459	0.104	0.00994	0.00188	0.1	0.15	0.22	0.33	0.46	0.63	0.008	0.01	0.01
8	0.15	0.0328	0.451	0.0828	0.0102	0.00149	0.11	0.15	0.2	0.35	0.45	0.59	0.009	0.01	0.01
9	0.145	0.0269	0.447	0.069	0.0105	0.00143	0.11	0.15	0.19	0.36	0.45	0.56	0.009	0.01	0.01
10	0.142	0.0236	0.444	0.0611	0.0107	0.0014	0.11	0.14	0.18	0.37	0.44	0.55	0.009	0.01	0.01
11	0.141	0.0219	0.443	0.0535	0.0109	0.00141	0.11	0.14	0.18	0.38	0.44	0.53	0.009	0.01	0.01
12	0.139	0.0205	0.439	0.0489	0.0111	0.00142	0.11	0.14	0.17	0.37	0.44	0.51	0.009	0.01	0.01
13	0.138	0.0203	0.437	0.0465	0.0112	0.0014	0.11	0.14	0.17	0.38	0.44	0.51	0.01	0.01	0.01
14	0.136	0.02	0.434	0.045	0.0114	0.00145	0.11	0.14	0.17	0.38	0.44	0.51	0.01	0.01	0.01
15	0.134	0.0198	0.435	0.0436	0.0117	0.00153	0.11	0.13	0.17	0.38	0.43	0.51	0.01	0.01	0.01
16	0.135	0.0197	0.435	0.0424	0.0117	0.00154	0.11	0.13	0.17	0.38	0.44	0.5	0.01	0.01	0.01
17	0.133	0.0202	0.432	0.0437	0.0118	0.00152	0.11	0.13	0.17	0.38	0.43	0.5	0.01	0.01	0.01
18	0.133	0.0202	0.43	0.0445	0.0119	0.00155	0.11	0.13	0.17	0.37	0.43	0.5	0.01	0.01	0.01
19	0.13	0.0204	0.429	0.0439	0.0122	0.00161	0.11	0.13	0.17	0.38	0.43	0.5	0.01	0.01	0.02
20	0.127	0.0207	0.427	0.0452	0.0125	0.00167	0.1	0.13	0.16	0.37	0.43	0.5	0.01	0.01	0.02
21	0.125	0.0204	0.424	0.0445	0.0127	0.0017	0.1	0.12	0.16	0.37	0.42	0.5	0.01	0.01	0.02
22	0.125	0.0212	0.423	0.0461	0.0127	0.00175	0.1	0.12	0.16	0.37	0.42	0.5	0.01	0.01	0.02
23	0.122	0.0209	0.421	0.0461	0.0132	0.00176	0.1	0.12	0.16	0.36	0.42	0.5	0.01	0.01	0.02
24	0.12	0.0213	0.418	0.0458	0.0134	0.00179	0.09	0.12	0.16	0.36	0.42	0.49	0.01	0.01	0.02
25	0.117	0.0215	0.416	0.0478	0.0136	0.00185	0.09	0.12	0.15	0.36	0.42	0.49	0.01	0.01	0.02
26	0.116	0.0216	0.414	0.0473	0.0138	0.00186	0.09	0.11	0.15	0.36	0.41	0.49	0.01	0.01	0.02
27	0.115	0.0219	0.414	0.0487	0.0139	0.00188	0.09	0.11	0.15	0.35	0.41	0.49	0.01	0.01	0.02
28	0.113	0.0221	0.413	0.0498	0.0142	0.00198	0.09	0.11	0.15	0.35	0.41	0.49	0.01	0.01	0.02
29	0.113	0.0217	0.411	0.0484	0.0143	0.00198	0.09	0.11	0.15	0.35	0.41	0.49	0.01	0.01	0.02
30	0.11	0.0224	0.408	0.051	0.0147	0.00208	0.08	0.11	0.15	0.35	0.41	0.49	0.01	0.01	0.02
31	0.108	0.0221	0.406	0.0513	0.0149	0.00214	0.08	0.11	0.15	0.34	0.41	0.49	0.01	0.01	0.02
32	0.107	0.0222	0.405	0.0512	0.0151	0.00215	0.08	0.11	0.15	0.34	0.4	0.49	0.01	0.01	0.02
33	0.109	0.0219	0.407	0.05	0.0152	0.0021	0.08	0.11	0.15	0.35	0.41	0.49	0.01	0.01	0.02
34	0.107	0.0214	0.405	0.0505	0.0155	0.00219	0.08	0.11	0.14	0.34	0.41	0.48	0.01	0.02	0.02
