Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.678	0.444	0.509	0.219	0.0041	0.00185	0.2	0.58	1.5	0.22	0.5	0.86	0.003	0.004	0.007
2	0.45	0.292	0.507	0.22	0.00553	0.00221	0.14	0.38	0.99	0.22	0.5	0.86	0.003	0.005	0.01
3	0.304	0.196	0.504	0.221	0.00726	0.00293	0.1	0.26	0.67	0.21	0.49	0.86	0.005	0.007	0.01
4	0.218	0.129	0.498	0.208	0.00873	0.00326	0.08	0.19	0.46	0.23	0.49	0.83	0.006	0.008	0.01
5	0.171	0.0863	0.491	0.185	0.00981	0.00314	0.07	0.16	0.33	0.25	0.49	0.79	0.007	0.009	0.02
6	0.145	0.0596	0.481	0.159	0.0105	0.00292	0.07	0.14	0.25	0.28	0.47	0.74	0.008	0.01	0.02
7	0.13	0.0423	0.47	0.131	0.0107	0.00253	0.08	0.13	0.2	0.31	0.46	0.68	0.008	0.01	0.02
8	0.121	0.0322	0.46	0.108	0.011	0.00223	0.08	0.12	0.18	0.32	0.45	0.64	0.009	0.01	0.01
9	0.116	0.026	0.453	0.0895	0.0112	0.00198	0.08	0.12	0.16	0.34	0.45	0.6	0.009	0.01	0.01
10	0.114	0.023	0.446	0.0794	0.0113	0.00191	0.08	0.11	0.15	0.34	0.44	0.57	0.009	0.01	0.01
11	0.112	0.0205	0.445	0.0703	0.0114	0.00179	0.09	0.11	0.14	0.35	0.45	0.55	0.009	0.01	0.01
12	0.111	0.0188	0.443	0.0626	0.0114	0.00174	0.09	0.11	0.14	0.36	0.44	0.54	0.009	0.01	0.01
13	0.11	0.0183	0.441	0.0595	0.0115	0.00177	0.09	0.11	0.14	0.36	0.44	0.53	0.01	0.01	0.01
14	0.108	0.018	0.438	0.0578	0.0117	0.00174	0.09	0.11	0.14	0.37	0.44	0.53	0.01	0.01	0.02
15	0.107	0.0176	0.436	0.0554	0.0119	0.00174	0.09	0.11	0.14	0.37	0.44	0.52	0.01	0.01	0.02
16	0.106	0.0168	0.436	0.0534	0.012	0.00176	0.09	0.11	0.13	0.37	0.44	0.52	0.01	0.01	0.02
17	0.106	0.0167	0.433	0.0528	0.012	0.00175	0.09	0.11	0.13	0.37	0.43	0.52	0.01	0.01	0.02
18	0.106	0.0165	0.434	0.0507	0.0119	0.00173	0.09	0.11	0.13	0.37	0.43	0.52	0.01	0.01	0.02
19	0.105	0.0164	0.433	0.0518	0.0121	0.00174	0.09	0.1	0.13	0.37	0.43	0.52	0.01	0.01	0.02
20	0.103	0.016	0.432	0.0511	0.0123	0.0018	0.08	0.1	0.13	0.37	0.43	0.52	0.01	0.01	0.02
21	0.103	0.0161	0.43	0.0512	0.0124	0.00184	0.08	0.1	0.13	0.37	0.43	0.51	0.01	0.01	0.02
22	0.103	0.0166	0.429	0.0514	0.0124	0.00185	0.08	0.1	0.13	0.37	0.43	0.51	0.01	0.01	0.02
23	0.102	0.0168	0.427	0.0523	0.0125	0.00188	0.08	0.1	0.13	0.36	0.43	0.51	0.01	0.01	0.02
24	0.101	0.0168	0.425	0.0521	0.0127	0.00188	0.08	0.1	0.13	0.36	0.42	0.51	0.01	0.01	0.02
25	0.099	0.0166	0.423	0.0545	0.0128	0.00193	0.08	0.1	0.13	0.35	0.42	0.51	0.01	0.01	0.02
26	0.0991	0.017	0.423	0.0541	0.0129	0.00192	0.08	0.1	0.13	0.36	0.42	0.51	0.01	0.01	0.02
27	0.0986	0.0174	0.421	0.0556	0.0129	0.00197	0.08	0.1	0.13	0.35	0.42	0.51	0.01	0.01	0.02
28	0.0978	0.0178	0.42	0.0574	0.0131	0.00204	0.08	0.1	0.13	0.35	0.42	0.51	0.01	0.01	0.02
29	0.097	0.0175	0.42	0.0558	0.0132	0.00203	0.08	0.1	0.12	0.35	0.42	0.51	0.01	0.01	0.02
30	0.0957	0.0178	0.416	0.0583	0.0133	0.00207	0.07	0.1	0.12	0.34	0.42	0.51	0.01	0.01	0.02
31	0.0948	0.0179	0.415	0.057	0.0135	0.00212	0.07	0.09	0.12	0.34	0.42	0.5	0.01	0.01	0.02
32	0.094	0.0183	0.415	0.0578	0.0136	0.00212	0.07	0.09	0.12	0.34	0.42	0.5	0.01	0.01	0.02
33	0.0934	0.0179	0.414	0.0577	0.0136	0.00214	0.07	0.09	0.12	0.34	0.42	0.5	0.01	0.01	0.02
35	0.0919	0.0178	0.412	0.058	0.014	0.00223	0.07	0.09	0.12	0.34	0.41	0.5	0.01	0.01	0.02
36	0.0913	0.0179	0.41	0.0588	0.0141	0.00219	0.07	0.09	0.12	0.33	0.41	0.5	0.01	0.01	0.02
37	0.0904	0.0181	0.409	0.0602	0.0142	0.00226	0.07	0.09	0.12	0.33	0.41	0.5	0.01	0.01	0.02
38	0.09	0.018	0.41	0.0588	0.0143	0.00223	0.07	0.09	0.12	0.34	0.41	0.5	0.01	0.01	0.02
39	0.0901	0.0183	0.408	0.0615	0.0143	0.00226	0.07	0.09	0.12	0.33	0.41	0.5	0.01	0.01	0.02
40	0.0888	0.0182	0.408	0.0616	0.0147	0.00234	0.07	0.09	0.12	0.33	0.41	0.5	0.01	0.01	0.02
41	0.0891	0.018	0.408	0.0588	0.0146	0.00229	0.07	0.09	0.12	0.33	0.41	0.5	0.01	0.01	0.02
42	0.0888	0.0183	0.407	0.0603	0.0148	0.00231	0.07	0.09	0.12	0.33	0.41	0.5	0.01	0.01	0.02
43	0.0877	0.0182	0.407	0.0609	0.015	0.00235	0.06	0.09	0.11	0.33	0.41	0.5	0.01	0.01	0.02
44	0.0877	0.0185	0.405	0.0639	0.0149	0.00232	0.06	0.09	0.12	0.32	0.41	0.5	0.01	0.01	0.02
45	0.0878	0.0186	0.404	0.0648	0.015	0.00234	0.06	0.09	0.11	0.32	0.41	0.51	0.01	0.01	0.02
46	0.132	0.0249	0.416	0.0555	0.0111	0.00162	0.1	0.13	0.17	0.34	0.42	0.5	0.009	0.01	0.01
47	0.152	0.0299	0.416	0.058	0.00885	0.0013	0.11	0.15	0.2	0.34	0.42	0.5	0.007	0.009	0.01
48	0.161	0.0323	0.416	0.0603	0.00848	0.00125	0.12	0.16	0.21	0.34	0.42	0.5	0.007	0.008	0.01
49	0.165	0.0333	0.416	0.0608	0.00832	0.00119	0.12	0.17	0.21	0.34	0.42	0.5	0.007	0.008	0.01
50	0.166	0.0337	0.416	0.0616	0.00842	0.00118	0.12	0.17	0.22	0.34	0.42	0.5	0.007	0.008	0.01
51	0.166	0.0338	0.417	0.0605	0.00852	0.00113	0.12	0.17	0.22	0.34	0.42	0.5	0.007	0.008	0.01
52	0.166	0.0335	0.417	0.0611	0.00861	0.00112	0.12	0.17	0.21	0.34	0.42	0.5	0.007	0.008	0.01
53	0.165	0.0332	0.418	0.0616	0.00873	0.00112	0.12	0.17	0.21	0.34	0.43	0.5	0.007	0.009	0.01
54	0.164	0.0331	0.418	0.0624	0.00885	0.00113	0.12	0.17	0.21	0.34	0.43	0.5	0.008	0.009	0.01
55	0.164	0.0332	0.419	0.0622	0.00892	0.00111	0.12	0.17	0.21	0.34	0.43	0.5	0.008	0.009	0.01
56	0.163	0.0328	0.42	0.0615	0.00904	0.00108	0.12	0.17	0.21	0.35	0.43	0.5	0.008	0.009	0.01
57	0.163	0.0323	0.42	0.0626	0.00913	0.00111	0.12	0.16	0.21	0.34	0.43	0.5	0.008	0.009	0.01
58	0.16	0.0313	0.42	0.0629	0.00921	0.00111	0.12	0.16	0.21	0.34	0.43	0.51	0.008	0.009	0.01
59	0.156	0.0307	0.419	0.064	0.00914	0.00112	0.12	0.16	0.2	0.34	0.43	0.51	0.008	0.009	0.01
60	0.152	0.0299	0.419	0.0646	0.00934	0.00115	0.12	0.15	0.2	0.34	0.43	0.5	0.008	0.009	0.01
61	0.148	0.0288	0.418	0.0645	0.00942	0.00117	0.11	0.15	0.19	0.34	0.43	0.51	0.008	0.009	0.01
62	0.144	0.028	0.416	0.0642	0.00961	0.0012	0.11	0.15	0.18	0.34	0.42	0.5	0.008	0.009	0.01
63	0.14	0.0272	0.415	0.066	0.00972	0.00123	0.11	0.14	0.18	0.33	0.42	0.51	0.008	0.01	0.01
64	0.136	0.0269	0.415	0.0659	0.00991	0.00125	0.1	0.14	0.18	0.33	0.42	0.5	0.009	0.01	0.01
65	0.132	0.0263	0.413	0.0676	0.0101	0.00128	0.1	0.13	0.17	0.33	0.42	0.51	0.009	0.01	0.01
66	0.128	0.0259	0.412	0.0682	0.0103	0.00131	0.1	0.13	0.17	0.33	0.42	0.5	0.009	0.01	0.01
67	0.125	0.0252	0.409	0.0684	0.0105	0.00136	0.09	0.13	0.16	0.33	0.42	0.5	0.009	0.01	0.01
68	0.122	0.0248	0.408	0.0696	0.0107	0.00142	0.09	0.12	0.16	0.32	0.42	0.5	0.009	0.01	0.01
69	0.119	0.0246	0.407	0.0706	0.0109	0.00144	0.09	0.12	0.16	0.32	0.42	0.5	0.009	0.01	0.01
70	0.116	0.0242	0.405	0.0715	0.0112	0.00149	0.09	0.12	0.15	0.31	0.41	0.5	0.009	0.01	0.01
71	0.114	0.0239	0.404	0.0711	0.0113	0.00148	0.08	0.11	0.15	0.31	0.41	0.5	0.01	0.01	0.01
72	0.111	0.0234	0.402	0.0725	0.0115	0.00152	0.08	0.11	0.15	0.31	0.41	0.5	0.01	0.01	0.01
73	0.108	0.023	0.401	0.0721	0.0118	0.00158	0.08	0.11	0.14	0.31	0.41	0.5	0.01	0.01	0.01
74	0.105	0.0226	0.4	0.0728	0.0122	0.00163	0.08	0.11	0.14	0.31	0.41	0.51	0.01	0.01	0.02
75	0.103	0.0223	0.398	0.0735	0.0124	0.00164	0.08	0.1	0.14	0.3	0.41	0.5	0.01	0.01	0.02
76	0.1	0.022	0.396	0.0739	0.0126	0.00169	0.07	0.1	0.13	0.3	0.41	0.5	0.01	0.01	0.02
77	0.0986	0.0217	0.396	0.0732	0.013	0.00173	0.07	0.1	0.13	0.31	0.4	0.5	0.01	0.01	0.02
78	0.0965	0.0215	0.393	0.0743	0.0133	0.0018	0.07	0.1	0.13	0.3	0.4	0.5	0.01	0.01	0.02
79	0.0948	0.0211	0.393	0.0735	0.0136	0.00182	0.07	0.1	0.13	0.3	0.4	0.5	0.01	0.01	0.02
80	0.0928	0.0209	0.391	0.0743	0.0139	0.00185	0.07	0.09	0.12	0.3	0.4	0.5	0.01	0.01	0.02
81	0.0908	0.0204	0.39	0.0742	0.0143	0.0019	0.06	0.09	0.12	0.3	0.4	0.5	0.01	0.01	0.02
82	0.0887	0.02	0.388	0.0746	0.0147	0.00195	0.06	0.09	0.12	0.29	0.4	0.5	0.01	0.01	0.02
83	0.0871	0.0199	0.387	0.0752	0.015	0.00201	0.06	0.09	0.12	0.29	0.4	0.5	0.01	0.01	0.02
84	0.0858	0.0198	0.385	0.0747	0.0153	0.00204	0.06	0.09	0.12	0.29	0.39	0.5	0.01	0.02	0.02
85	0.084	0.0194	0.384	0.0747	0.0159	0.0021	0.06	0.08	0.11	0.28	0.39	0.49	0.01	0.02	0.02
86	0.0828	0.0193	0.383	0.0757	0.0161	0.00214	0.06	0.08	0.11	0.28	0.39	0.49	0.01	0.02	0.02
