Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.642	0.435	0.484	0.221	0.00414	0.00202	0.17	0.55	1.5	0.19	0.49	0.85	0.003	0.004	0.007
2	0.423	0.281	0.484	0.221	0.00564	0.00239	0.12	0.36	0.97	0.19	0.48	0.84	0.004	0.005	0.01
3	0.283	0.187	0.481	0.223	0.00748	0.00323	0.09	0.24	0.65	0.19	0.48	0.85	0.005	0.007	0.01
4	0.206	0.124	0.476	0.21	0.00888	0.00321	0.07	0.18	0.45	0.2	0.47	0.83	0.006	0.008	0.01
5	0.164	0.0843	0.469	0.187	0.00993	0.00296	0.07	0.15	0.32	0.23	0.46	0.79	0.007	0.009	0.02
6	0.139	0.0579	0.462	0.16	0.0105	0.00263	0.07	0.13	0.24	0.25	0.46	0.74	0.008	0.01	0.02
7	0.128	0.042	0.455	0.129	0.0106	0.00223	0.08	0.13	0.2	0.29	0.45	0.68	0.008	0.01	0.01
8	0.122	0.032	0.449	0.106	0.0107	0.0019	0.08	0.12	0.17	0.31	0.45	0.62	0.009	0.01	0.01
9	0.119	0.0264	0.444	0.0887	0.0109	0.00173	0.08	0.12	0.16	0.33	0.44	0.58	0.009	0.01	0.01
10	0.117	0.0233	0.44	0.0786	0.011	0.00164	0.09	0.12	0.15	0.34	0.44	0.57	0.009	0.01	0.01
11	0.116	0.0209	0.439	0.0691	0.0109	0.00159	0.09	0.12	0.15	0.35	0.44	0.55	0.009	0.01	0.01
12	0.114	0.0194	0.436	0.0637	0.0111	0.00157	0.09	0.11	0.14	0.36	0.44	0.54	0.009	0.01	0.01
13	0.113	0.0184	0.435	0.0596	0.0111	0.00158	0.09	0.11	0.14	0.36	0.44	0.53	0.009	0.01	0.01
14	0.112	0.0177	0.432	0.0569	0.0113	0.00155	0.09	0.11	0.14	0.36	0.43	0.52	0.01	0.01	0.01
15	0.111	0.0173	0.432	0.0537	0.0114	0.00153	0.09	0.11	0.14	0.36	0.43	0.52	0.01	0.01	0.01
16	0.11	0.0166	0.431	0.0506	0.0115	0.00152	0.09	0.11	0.14	0.37	0.43	0.52	0.01	0.01	0.01
17	0.11	0.0166	0.429	0.0511	0.0115	0.00156	0.09	0.11	0.14	0.36	0.43	0.51	0.01	0.01	0.01
18	0.11	0.0164	0.428	0.05	0.0115	0.00157	0.09	0.11	0.14	0.37	0.43	0.51	0.01	0.01	0.01
19	0.108	0.0165	0.425	0.0494	0.0116	0.00161	0.09	0.11	0.13	0.36	0.43	0.51	0.01	0.01	0.01
20	0.107	0.0164	0.425	0.0484	0.0118	0.00162	0.09	0.11	0.13	0.37	0.43	0.5	0.01	0.01	0.02
