Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.648	0.422	0.492	0.216	0.00425	0.00196	0.19	0.57	1.4	0.19	0.49	0.84	0.003	0.004	0.008
2	0.434	0.28	0.489	0.215	0.00569	0.00243	0.13	0.38	0.95	0.19	0.49	0.83	0.003	0.005	0.01
3	0.289	0.186	0.485	0.216	0.00746	0.00321	0.08	0.25	0.64	0.19	0.49	0.83	0.005	0.007	0.01
4	0.21	0.126	0.479	0.204	0.00898	0.00359	0.07	0.19	0.45	0.21	0.48	0.82	0.006	0.008	0.02
5	0.164	0.0844	0.472	0.182	0.0101	0.0034	0.07	0.15	0.32	0.23	0.47	0.78	0.007	0.009	0.02
6	0.138	0.0571	0.464	0.154	0.0107	0.00309	0.07	0.13	0.24	0.26	0.46	0.73	0.008	0.01	0.02
7	0.125	0.0414	0.458	0.129	0.011	0.00266	0.07	0.12	0.2	0.29	0.45	0.68	0.008	0.01	0.02
8	0.118	0.0315	0.453	0.106	0.0113	0.00229	0.08	0.12	0.17	0.32	0.45	0.63	0.009	0.01	0.02
9	0.114	0.0259	0.448	0.0891	0.0114	0.00218	0.08	0.11	0.16	0.33	0.45	0.59	0.009	0.01	0.02
10	0.112	0.0224	0.446	0.0778	0.0115	0.00197	0.08	0.11	0.15	0.34	0.45	0.57	0.009	0.01	0.02
11	0.111	0.0204	0.444	0.0685	0.0115	0.00186	0.09	0.11	0.14	0.35	0.45	0.55	0.009	0.01	0.01
12	0.109	0.0187	0.442	0.0633	0.0116	0.00181	0.09	0.11	0.14	0.36	0.44	0.54	0.01	0.01	0.02
13	0.108	0.0177	0.44	0.0593	0.0118	0.00184	0.09	0.11	0.14	0.37	0.44	0.53	0.01	0.01	0.02
14	0.107	0.017	0.437	0.0569	0.0119	0.00179	0.09	0.11	0.13	0.37	0.44	0.53	0.01	0.01	0.02
15	0.105	0.0166	0.437	0.055	0.0121	0.00178	0.09	0.11	0.13	0.37	0.44	0.52	0.01	0.01	0.02
16	0.104	0.0162	0.436	0.0537	0.0122	0.00179	0.09	0.1	0.13	0.37	0.44	0.52	0.01	0.01	0.02
17	0.105	0.016	0.437	0.0526	0.0122	0.00176	0.09	0.1	0.13	0.37	0.44	0.52	0.01	0.01	0.02
18	0.105	0.0157	0.435	0.0522	0.0122	0.00179	0.09	0.1	0.13	0.37	0.43	0.52	0.01	0.01	0.02
19	0.103	0.0156	0.435	0.0525	0.0123	0.00186	0.08	0.1	0.13	0.37	0.43	0.52	0.01	0.01	0.02
20	0.103	0.0156	0.434	0.0529	0.0125	0.00186	0.08	0.1	0.13	0.37	0.43	0.52	0.01	0.01	0.02
21	0.102	0.0153	0.433	0.0519	0.0127	0.00187	0.08	0.1	0.13	0.37	0.43	0.51	0.01	0.01	0.02
22	0.101	0.0153	0.432	0.0508	0.0127	0.00188	0.08	0.1	0.13	0.37	0.43	0.51	0.01	0.01	0.02
23	0.1	0.0153	0.43	0.0514	0.0128	0.00196	0.08	0.1	0.13	0.37	0.43	0.51	0.01	0.01	0.02
24	0.099	0.0154	0.43	0.0513	0.013	0.00199	0.08	0.1	0.12	0.37	0.43	0.51	0.01	0.01	0.02
25	0.0982	0.0151	0.428	0.0515	0.013	0.00204	0.08	0.1	0.12	0.37	0.43	0.51	0.01	0.01	0.02
26	0.0978	0.0153	0.428	0.0522	0.0131	0.00206	0.08	0.1	0.12	0.37	0.43	0.51	0.01	0.01	0.02
27	0.0975	0.0154	0.426	0.0522	0.0131	0.00202	0.08	0.1	0.12	0.37	0.43	0.5	0.01	0.01	0.02
28	0.0966	0.0155	0.423	0.0541	0.0133	0.00206	0.08	0.1	0.12	0.36	0.43	0.51	0.01	0.01	0.02
29	0.0958	0.0156	0.423	0.053	0.0134	0.00208	0.08	0.09	0.12	0.36	0.42	0.51	0.01	0.01	0.02
30	0.0957	0.0157	0.423	0.0539	0.0134	0.00208	0.08	0.09	0.12	0.36	0.42	0.51	0.01	0.01	0.02
31	0.0946	0.0156	0.422	0.0531	0.0137	0.00215	0.08	0.09	0.12	0.36	0.42	0.5	0.01	0.01	0.02
32	0.0939	0.0158	0.422	0.0541	0.0138	0.00214	0.07	0.09	0.12	0.36	0.42	0.51	0.01	0.01	0.02
33	0.0934	0.0159	0.422	0.0547	0.0139	0.00215	0.07	0.09	0.12	0.36	0.42	0.51	0.01	0.01	0.02
34	0.0933	0.0162	0.422	0.0556	0.014	0.0022	0.07	0.09	0.12	0.36	0.42	0.51	0.01	0.01	0.02
35	0.0929	0.0159	0.422	0.0557	0.0141	0.00219	0.07	0.09	0.12	0.36	0.42	0.51	0.01	0.01	0.02
36	0.092	0.0159	0.421	0.0558	0.0142	0.00224	0.07	0.09	0.12	0.35	0.42	0.51	0.01	0.01	0.02
37	0.0912	0.0159	0.42	0.0564	0.0144	0.0023	0.07	0.09	0.12	0.35	0.42	0.51	0.01	0.01	0.02
38	0.0915	0.016	0.421	0.0546	0.0145	0.00225	0.07	0.09	0.12	0.35	0.42	0.51	0.01	0.01	0.02
39	0.0919	0.0162	0.42	0.0566	0.0145	0.00229	0.07	0.09	0.12	0.35	0.42	0.5	0.01	0.01	0.02
40	0.0907	0.0165	0.419	0.0578	0.0148	0.00234	0.07	0.09	0.12	0.35	0.42	0.5	0.01	0.01	0.02
41	0.0913	0.0165	0.42	0.0557	0.0147	0.00222	0.07	0.09	0.12	0.35	0.42	0.5	0.01	0.01	0.02
42	0.0914	0.0168	0.42	0.0565	0.0148	0.0022	0.07	0.09	0.12	0.35	0.42	0.51	0.01	0.01	0.02
43	0.09	0.0164	0.419	0.0565	0.0151	0.00227	0.07	0.09	0.12	0.35	0.42	0.51	0.01	0.01	0.02
44	0.0902	0.0167	0.418	0.0587	0.0151	0.00237	0.07	0.09	0.12	0.34	0.42	0.51	0.01	0.01	0.02
45	0.0906	0.017	0.417	0.0609	0.015	0.00233	0.07	0.09	0.12	0.34	0.42	0.51	0.01	0.01	0.02
46	0.135	0.0222	0.429	0.0508	0.0111	0.0016	0.11	0.13	0.17	0.37	0.43	0.51	0.009	0.01	0.01
47	0.157	0.0267	0.43	0.0526	0.00887	0.00127	0.13	0.16	0.2	0.37	0.43	0.51	0.007	0.009	0.01
48	0.166	0.0288	0.43	0.0539	0.00854	0.00121	0.13	0.17	0.21	0.37	0.43	0.51	0.007	0.008	0.01
49	0.17	0.0294	0.43	0.0552	0.00839	0.00116	0.14	0.17	0.22	0.36	0.43	0.52	0.007	0.008	0.01
50	0.171	0.0293	0.43	0.0551	0.00848	0.00113	0.14	0.17	0.22	0.37	0.43	0.51	0.007	0.008	0.01
51	0.172	0.0298	0.432	0.0545	0.00856	0.00109	0.14	0.17	0.22	0.37	0.43	0.52	0.007	0.008	0.01
52	0.172	0.0298	0.433	0.0547	0.00866	0.00109	0.14	0.17	0.22	0.37	0.43	0.52	0.007	0.009	0.01
53	0.172	0.0296	0.433	0.055	0.00875	0.0011	0.14	0.17	0.22	0.37	0.43	0.52	0.007	0.009	0.01
