Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
47	0.0827	0.0206	0.365	0.0721	0.0153	0.00217	0.06	0.08	0.12	0.28	0.37	0.46	0.01	0.02	0.02
48	0.0814	0.0202	0.362	0.0733	0.0153	0.0022	0.06	0.08	0.11	0.28	0.37	0.46	0.01	0.02	0.02
49	0.0792	0.0198	0.361	0.0742	0.0157	0.00226	0.05	0.08	0.11	0.28	0.37	0.46	0.01	0.02	0.02
50	0.0777	0.0193	0.362	0.0726	0.0158	0.00234	0.05	0.08	0.11	0.28	0.37	0.46	0.01	0.02	0.02
51	0.0757	0.019	0.359	0.0741	0.0162	0.00239	0.05	0.07	0.11	0.28	0.36	0.46	0.01	0.02	0.02
52	0.0746	0.0187	0.361	0.0718	0.0165	0.0024	0.05	0.07	0.11	0.28	0.37	0.46	0.01	0.02	0.02
53	0.0728	0.0183	0.359	0.0716	0.0168	0.00239	0.05	0.07	0.1	0.28	0.36	0.46	0.01	0.02	0.02
54	0.0726	0.0185	0.36	0.0734	0.0171	0.0024	0.05	0.07	0.1	0.28	0.37	0.46	0.01	0.02	0.02
55	0.0709	0.018	0.356	0.0765	0.017	0.00252	0.05	0.07	0.1	0.27	0.36	0.47	0.01	0.02	0.02
56	0.0701	0.0175	0.358	0.0744	0.0172	0.00252	0.05	0.07	0.1	0.27	0.36	0.47	0.01	0.02	0.02
57	0.0685	0.0173	0.357	0.0739	0.0176	0.00247	0.05	0.07	0.1	0.28	0.36	0.47	0.01	0.02	0.02
58	0.0669	0.0171	0.357	0.0747	0.018	0.00248	0.05	0.07	0.09	0.27	0.36	0.46	0.01	0.02	0.02
59	0.0661	0.017	0.356	0.0746	0.0182	0.00256	0.05	0.07	0.09	0.27	0.36	0.47	0.02	0.02	0.02
60	0.0647	0.0168	0.356	0.0728	0.0187	0.0026	0.04	0.06	0.09	0.27	0.36	0.46	0.02	0.02	0.02
61	0.0631	0.0163	0.353	0.0734	0.0188	0.00265	0.04	0.06	0.09	0.27	0.36	0.46	0.02	0.02	0.02
62	0.0626	0.0161	0.353	0.0737	0.0191	0.0027	0.04	0.06	0.09	0.27	0.36	0.46	0.02	0.02	0.02
63	0.0618	0.0158	0.354	0.0719	0.0192	0.00274	0.04	0.06	0.09	0.26	0.36	0.46	0.02	0.02	0.02
64	0.0598	0.0155	0.351	0.0717	0.0199	0.0028	0.04	0.06	0.09	0.26	0.35	0.46	0.02	0.02	0.02
