Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
1	0.444	0.367	0.5	0.26	0.00706	0.00624	0.08	0.35	1.2	0.15	0.49	0.92	0.003	0.005	0.02
2	0.273	0.172	0.504	0.227	0.00708	0.00333	0.09	0.24	0.61	0.22	0.48	0.9	0.004	0.006	0.01
3	0.19	0.081	0.501	0.194	0.00852	0.00299	0.1	0.18	0.34	0.27	0.48	0.86	0.006	0.008	0.01
4	0.156	0.0429	0.49	0.151	0.00908	0.00273	0.1	0.15	0.23	0.32	0.47	0.78	0.006	0.009	0.01
5	0.142	0.0303	0.478	0.117	0.00909	0.00251	0.1	0.14	0.19	0.34	0.46	0.7	0.007	0.008	0.01
6	0.132	0.0248	0.47	0.0963	0.0104	0.00327	0.1	0.13	0.17	0.36	0.46	0.65	0.008	0.01	0.02
7	0.13	0.0227	0.463	0.0818	0.0092	0.00237	0.1	0.13	0.17	0.37	0.46	0.61	0.007	0.009	0.01
8	0.128	0.022	0.462	0.0747	0.00919	0.00229	0.1	0.13	0.16	0.38	0.46	0.59	0.007	0.009	0.01
9	0.126	0.021	0.46	0.0717	0.00932	0.00237	0.1	0.13	0.16	0.38	0.46	0.58	0.007	0.009	0.01
10	0.127	0.0211	0.459	0.0688	0.00917	0.00234	0.1	0.13	0.16	0.38	0.46	0.57	0.007	0.009	0.01
11	0.125	0.0206	0.459	0.0677	0.00928	0.00238	0.1	0.12	0.16	0.38	0.45	0.57	0.007	0.009	0.01
12	0.126	0.0213	0.458	0.0659	0.00971	0.00269	0.1	0.13	0.16	0.38	0.46	0.57	0.007	0.009	0.01
13	0.125	0.0215	0.459	0.063	0.00894	0.00213	0.1	0.13	0.16	0.38	0.46	0.57	0.007	0.008	0.01
14	0.125	0.0214	0.459	0.0634	0.00918	0.0023	0.1	0.12	0.16	0.38	0.46	0.57	0.007	0.009	0.01
15	0.123	0.021	0.458	0.0635	0.00921	0.00225	0.1	0.12	0.16	0.38	0.46	0.57	0.007	0.009	0.01
16	0.122	0.021	0.457	0.0633	0.00918	0.0021	0.1	0.12	0.16	0.38	0.46	0.56	0.007	0.009	0.01
17	0.12	0.0203	0.457	0.0638	0.00932	0.00217	0.1	0.12	0.15	0.38	0.46	0.56	0.007	0.009	0.01
18	0.118	0.0204	0.457	0.0653	0.00959	0.00231	0.09	0.12	0.15	0.38	0.45	0.56	0.007	0.009	0.01
19	0.118	0.0208	0.457	0.0652	0.00945	0.00223	0.09	0.12	0.15	0.38	0.45	0.56	0.007	0.009	0.01
20	0.117	0.0207	0.457	0.0651	0.00959	0.00227	0.09	0.12	0.15	0.38	0.45	0.56	0.007	0.009	0.01
21	0.116	0.0207	0.457	0.0667	0.00971	0.00224	0.09	0.12	0.15	0.38	0.45	0.57	0.007	0.009	0.01
22	0.112	0.0201	0.455	0.0676	0.00994	0.00228	0.09	0.11	0.14	0.38	0.45	0.57	0.008	0.009	0.01
23	0.112	0.0197	0.456	0.0672	0.0101	0.00224	0.09	0.11	0.14	0.37	0.45	0.57	0.008	0.01	0.01
24	0.113	0.0193	0.456	0.0653	0.0101	0.00224	0.09	0.11	0.14	0.38	0.45	0.56	0.008	0.01	0.01
25	0.109	0.0193	0.455	0.0677	0.0104	0.00229	0.09	0.11	0.14	0.38	0.46	0.56	0.008	0.01	0.01
26	0.109	0.0192	0.455	0.0669	0.0106	0.00239	0.09	0.11	0.14	0.38	0.45	0.56	0.008	0.01	0.02
27	0.109	0.019	0.455	0.0674	0.0107	0.00232	0.09	0.11	0.14	0.38	0.45	0.56	0.008	0.01	0.02
28	0.107	0.0189	0.454	0.069	0.0112	0.00268	0.08	0.11	0.14	0.37	0.45	0.57	0.009	0.01	0.02
29	0.107	0.0185	0.454	0.0694	0.0109	0.00236	0.08	0.11	0.13	0.37	0.45	0.56	0.009	0.01	0.02
30	0.105	0.0179	0.452	0.0686	0.0115	0.00265	0.08	0.11	0.13	0.37	0.45	0.56	0.009	0.01	0.02
31	0.105	0.0181	0.451	0.0672	0.0115	0.0026	0.08	0.11	0.13	0.38	0.45	0.56	0.009	0.01	0.02
32	0.105	0.0179	0.451	0.0672	0.0115	0.00247	0.08	0.11	0.13	0.37	0.45	0.56	0.009	0.01	0.02
33	0.104	0.0176	0.451	0.0675	0.0119	0.0027	0.08	0.11	0.13	0.37	0.45	0.56	0.009	0.01	0.02
34	0.105	0.018	0.452	0.0664	0.0117	0.00253	0.08	0.11	0.13	0.37	0.45	0.56	0.009	0.01	0.02
35	0.104	0.0177	0.452	0.0669	0.012	0.00257	0.08	0.11	0.13	0.38	0.45	0.56	0.01	0.01	0.02
36	0.103	0.0174	0.451	0.0652	0.0121	0.00262	0.08	0.11	0.13	0.38	0.45	0.56	0.01	0.01	0.02
37	0.102	0.0171	0.45	0.0649	0.0123	0.00246	0.08	0.1	0.13	0.37	0.45	0.55	0.01	0.01	0.02
38	0.101	0.0166	0.449	0.065	0.0125	0.00258	0.08	0.1	0.12	0.37	0.45	0.55	0.01	0.01	0.02
39	0.101	0.0169	0.449	0.0645	0.0137	0.00398	0.08	0.1	0.13	0.38	0.45	0.55	0.01	0.01	0.02
40	0.1	0.0165	0.45	0.0645	0.0126	0.00262	0.08	0.1	0.12	0.37	0.45	0.55	0.01	0.01	0.02
41	0.0988	0.0167	0.449	0.0658	0.0132	0.00278	0.08	0.1	0.12	0.37	0.45	0.55	0.01	0.01	0.02
42	0.0974	0.017	0.447	0.067	0.0138	0.00358	0.08	0.1	0.12	0.37	0.45	0.55	0.01	0.01	0.02
43	0.0941	0.0164	0.448	0.0682	0.0134	0.00273	0.07	0.1	0.12	0.36	0.45	0.55	0.01	0.01	0.02
44	0.0911	0.0159	0.446	0.0691	0.0137	0.00284	0.07	0.09	0.11	0.37	0.45	0.56	0.01	0.01	0.02
45	0.0882	0.0159	0.444	0.0715	0.0139	0.00302	0.07	0.09	0.11	0.36	0.44	0.56	0.01	0.01	0.02
46	0.0852	0.0154	0.444	0.0739	0.0143	0.00305	0.07	0.09	0.11	0.36	0.44	0.56	0.01	0.01	0.02
47	0.0831	0.0152	0.444	0.0751	0.0148	0.00343	0.06	0.08	0.11	0.36	0.44	0.57	0.01	0.01	0.02
48	0.0809	0.0151	0.443	0.077	0.0147	0.00315	0.06	0.08	0.1	0.36	0.44	0.57	0.01	0.01	0.02
49	0.0786	0.015	0.441	0.0785	0.015	0.00332	0.06	0.08	0.1	0.35	0.44	0.57	0.01	0.01	0.02
50	0.0756	0.0149	0.439	0.0809	0.0154	0.00347	0.06	0.08	0.1	0.34	0.44	0.57	0.01	0.01	0.02
51	0.0737	0.0146	0.439	0.0828	0.0157	0.00354	0.06	0.08	0.09	0.34	0.44	0.58	0.01	0.01	0.02
52	0.0712	0.0146	0.437	0.085	0.0161	0.00371	0.05	0.07	0.09	0.34	0.43	0.58	0.01	0.02	0.02
53	0.0698	0.0143	0.435	0.0862	0.0164	0.0039	0.05	0.07	0.09	0.33	0.43	0.58	0.01	0.02	0.02
