Iteration	ValueMean	ValueStddev	DerivMean	DerivStddev	OderivMean	OderivStddev	Value_5th	Value_50th	Value_95th	Deriv_5th	Deriv_50th	Deriv_95th	Oderiv_5th	Oderiv_50th	Oderiv_95th
48	0.033	0.025	0.272	0.172	0.0175	0.00543	0.008	0.03	0.08	0.09	0.24	0.67	0.01	0.02	0.03
49	0.0322	0.0246	0.27	0.173	0.0178	0.00548	0.008	0.03	0.08	0.08	0.24	0.67	0.01	0.02	0.03
50	0.0315	0.0242	0.268	0.172	0.0181	0.00552	0.008	0.03	0.08	0.08	0.23	0.66	0.01	0.02	0.03
51	0.0307	0.024	0.266	0.172	0.0184	0.00562	0.007	0.02	0.08	0.08	0.23	0.66	0.01	0.02	0.03
52	0.0305	0.0241	0.265	0.172	0.0185	0.00565	0.007	0.02	0.08	0.08	0.23	0.67	0.01	0.02	0.03
53	0.0294	0.0235	0.261	0.172	0.0189	0.00571	0.007	0.02	0.08	0.08	0.22	0.66	0.01	0.02	0.03
54	0.0293	0.0231	0.264	0.172	0.0188	0.00557	0.007	0.02	0.07	0.08	0.22	0.66	0.01	0.02	0.03
55	0.0282	0.0228	0.259	0.172	0.0195	0.00574	0.007	0.02	0.07	0.08	0.22	0.65	0.01	0.02	0.03
56	0.0278	0.0227	0.258	0.172	0.0196	0.00578	0.006	0.02	0.07	0.08	0.22	0.66	0.01	0.02	0.03
57	0.0272	0.0223	0.257	0.172	0.0199	0.00584	0.006	0.02	0.07	0.08	0.21	0.66	0.01	0.02	0.03
58	0.0267	0.0219	0.256	0.172	0.0201	0.00584	0.006	0.02	0.07	0.08	0.21	0.66	0.01	0.02	0.03
59	0.0261	0.0216	0.254	0.172	0.0205	0.00589	0.006	0.02	0.07	0.07	0.21	0.65	0.01	0.02	0.03
60	0.0257	0.0215	0.253	0.171	0.0206	0.00592	0.006	0.02	0.07	0.08	0.21	0.65	0.01	0.02	0.03
61	0.025	0.021	0.252	0.171	0.0208	0.00588	0.006	0.02	0.07	0.07	0.21	0.65	0.01	0.02	0.03
62	0.0246	0.0207	0.25	0.171	0.021	0.00595	0.006	0.02	0.07	0.07	0.2	0.64	0.01	0.02	0.03
63	0.0239	0.0202	0.248	0.17	0.0214	0.00594	0.006	0.02	0.07	0.07	0.2	0.64	0.01	0.02	0.03
64	0.0231	0.0197	0.246	0.17	0.022	0.00602	0.005	0.02	0.07	0.07	0.2	0.64	0.01	0.02	0.03
65	0.0228	0.0195	0.245	0.169	0.0221	0.00595	0.005	0.02	0.06	0.07	0.2	0.64	0.01	0.02	0.03
66	0.0226	0.0195	0.245	0.17	0.0221	0.00595	0.005	0.02	0.07	0.07	0.2	0.65	0.01	0.02	0.03
67	0.0221	0.0191	0.242	0.17	0.0224	0.00609	0.005	0.02	0.06	0.07	0.2	0.63	0.01	0.02	0.03
68	0.0215	0.0187	0.241	0.17	0.0227	0.00605	0.005	0.02	0.06	0.07	0.19	0.64	0.02	0.02	0.03
69	0.0211	0.0186	0.24	0.17	0.023	0.00606	0.005	0.01	0.06	0.07	0.19	0.63	0.02	0.02	0.03
70	0.0217	0.019	0.243	0.169	0.0224	0.00598	0.005	0.02	0.06	0.07	0.2	0.63	0.01	0.02	0.03
71	0.0205	0.0185	0.236	0.17	0.0232	0.0062	0.005	0.01	0.06	0.07	0.19	0.63	0.02	0.02	0.03
72	0.0201	0.0181	0.236	0.17	0.0236	0.00617	0.005	0.01	0.06	0.07	0.19	0.64	0.02	0.02	0.03
73	0.0197	0.0177	0.236	0.169	0.0239	0.00619	0.005	0.01	0.06	0.07	0.19	0.63	0.02	0.02	0.03
74	0.0191	0.0174	0.233	0.17	0.0243	0.00622	0.005	0.01	0.06	0.07	0.19	0.63	0.02	0.02	0.03
75	0.0188	0.0172	0.234	0.17	0.0246	0.00622	0.005	0.01	0.06	0.07	0.19	0.63	0.02	0.02	0.03
76	0.0185	0.017	0.233	0.169	0.0247	0.00617	0.005	0.01	0.06	0.07	0.19	0.63	0.02	0.02	0.03
77	0.0181	0.0168	0.231	0.17	0.025	0.00625	0.004	0.01	0.06	0.07	0.18	0.63	0.02	0.03	0.03
78	0.0179	0.0167	0.231	0.17	0.0253	0.00631	0.004	0.01	0.06	0.07	0.19	0.63	0.02	0.03	0.03
79	0.0175	0.0165	0.23	0.17	0.0255	0.00632	0.004	0.01	0.05	0.07	0.18	0.63	0.02	0.03	0.03
80	0.0171	0.0163	0.228	0.169	0.0258	0.00638	0.004	0.01	0.05	0.07	0.18	0.63	0.02	0.03	0.04
